year,metric,value,kind,league
1921,HR_roll3,671.3333333333334,batting,MLB
1922,HR_roll3,874.0,batting,MLB
1923,HR_roll3,990.6666666666666,batting,MLB
1924,HR_roll3,977.0,batting,MLB
1925,HR_roll3,1015.0,batting,MLB
1926,HR_roll3,976.0,batting,MLB
1927,HR_roll3,984.6666666666666,batting,MLB
1928,HR_roll3,959.3333333333334,batting,MLB
1929,HR_roll3,1121.3333333333333,batting,MLB
1930,HR_roll3,1335.6666666666667,batting,MLB
1931,HR_roll3,1327.6666666666667,batting,MLB
1932,HR_roll3,1330.6666666666667,batting,MLB
1933,HR_roll3,1164.6666666666667,batting,MLB
1934,HR_roll3,1256.3333333333333,batting,MLB
1935,HR_roll3,1245.3333333333333,batting,MLB
1936,HR_roll3,1344.3333333333333,batting,MLB
1937,HR_roll3,1373.0,batting,MLB
1938,HR_roll3,1423.0,batting,MLB
1939,HR_roll3,1450.0,batting,MLB
1940,HR_roll3,1497.0,batting,MLB
1941,HR_roll3,1449.0,batting,MLB
1942,HR_roll3,1324.3333333333333,batting,MLB
1943,HR_roll3,1102.3333333333333,batting,MLB
1944,HR_roll3,1003.3333333333334,batting,MLB
1945,HR_roll3,982.0,batting,MLB
1946,HR_roll3,1085.3333333333333,batting,MLB
1947,HR_roll3,1262.3333333333333,batting,MLB
1948,HR_roll3,1445.0,batting,MLB
1949,HR_roll3,1608.0,batting,MLB
1950,HR_roll3,1777.3333333333333,batting,MLB
1951,HR_roll3,1880.0,batting,MLB
1952,HR_roll3,1879.0,batting,MLB
1953,HR_roll3,1880.0,batting,MLB
1954,HR_roll3,1904.6666666666667,batting,MLB
1955,HR_roll3,2079.0,batting,MLB
1956,HR_roll3,2151.6666666666665,batting,MLB
1957,HR_roll3,2240.0,batting,MLB
1958,HR_roll3,2245.3333333333335,batting,MLB
1959,HR_roll3,2230.6666666666665,batting,MLB
1960,HR_roll3,2206.0,batting,MLB
1961,HR_roll3,2369.3333333333335,batting,MLB
1962,HR_roll3,2619.6666666666665,batting,MLB
1963,HR_roll3,2811.6666666666665,batting,MLB
1964,HR_roll3,2822.3333333333335,batting,MLB
1965,HR_roll3,2718.0,batting,MLB
1966,HR_roll3,2731.0,batting,MLB
1967,HR_roll3,2576.6666666666665,batting,MLB
1968,HR_roll3,2345.6666666666665,batting,MLB
1969,HR_roll3,2471.0,batting,MLB
1970,HR_roll3,2847.6666666666665,batting,MLB
1971,HR_roll3,3137.0,batting,MLB
1972,HR_roll3,2942.0,batting,MLB
1973,HR_roll3,2833.0,batting,MLB
1974,HR_roll3,2761.6666666666665,batting,MLB
1975,HR_roll3,2816.3333333333335,batting,MLB
1976,HR_roll3,2527.3333333333335,batting,MLB
1977,HR_roll3,2859.0,batting,MLB
1978,HR_roll3,2945.0,batting,MLB
1979,HR_roll3,3344.3333333333335,batting,MLB
1980,HR_roll3,3158.6666666666665,batting,MLB
1981,HR_roll3,2767.0,batting,MLB
1982,HR_roll3,2749.0,batting,MLB
1983,HR_roll3,2820.3333333333335,batting,MLB
1984,HR_roll3,3312.6666666666665,batting,MLB
1985,HR_roll3,3387.0,batting,MLB
1986,HR_roll3,3557.6666666666665,batting,MLB
1987,HR_roll3,3957.6666666666665,batting,MLB
1988,HR_roll3,3817.0,batting,MLB
1989,HR_roll3,3573.6666666666665,batting,MLB
1990,HR_roll3,3193.3333333333335,batting,MLB
1991,HR_roll3,3261.0,batting,MLB
1992,HR_roll3,3246.0,batting,MLB
1993,HR_roll3,3483.6666666666665,batting,MLB
1994,HR_roll3,3458.0,batting,MLB
1995,HR_roll3,3805.6666666666665,batting,MLB
1996,HR_roll3,4116.333333333333,batting,MLB
1997,HR_roll3,4561.0,batting,MLB
1998,HR_roll3,4888.666666666667,batting,MLB
1999,HR_roll3,5077.333333333333,batting,MLB
2000,HR_roll3,5428.333333333333,batting,MLB
2001,HR_roll3,5559.666666666667,batting,MLB
2002,HR_roll3,5403.333333333333,batting,MLB
2003,HR_roll3,5241.333333333333,batting,MLB
2004,HR_roll3,5239.0,batting,MLB
2005,HR_roll3,5225.0,batting,MLB
2006,HR_roll3,5284.666666666667,batting,MLB
2007,HR_roll3,5120.0,batting,MLB
2008,HR_roll3,5073.666666666667,batting,MLB
2009,HR_roll3,4959.0,batting,MLB
2010,HR_roll3,4844.333333333333,batting,MLB
2011,HR_roll3,4735.666666666667,batting,MLB
2012,HR_roll3,4699.666666666667,batting,MLB
2013,HR_roll3,4715.666666666667,batting,MLB
2014,HR_roll3,4593.666666666667,batting,MLB
2015,HR_roll3,4585.333333333333,batting,MLB
2016,HR_roll3,4901.666666666667,batting,MLB
2017,HR_roll3,5541.333333333333,batting,MLB
2018,HR_roll3,5766.666666666667,batting,MLB
2019,HR_roll3,6155.333333333333,batting,MLB
2020,HR_roll3,4888.333333333333,batting,MLB
2021,HR_roll3,5008.0,batting,MLB
2022,HR_roll3,4487.666666666667,batting,MLB
2023,HR_roll3,5675.666666666667,batting,MLB
2024,HR_roll3,5512.0,batting,MLB
1876,R_roll3,3066.0,batting,MLB
1877,R_roll3,2553.0,batting,MLB
1878,R_roll3,2336.6666666666665,batting,MLB
1879,R_roll3,2451.0,batting,MLB
1880,R_roll3,2834.6666666666665,batting,MLB
1881,R_roll3,3341.6666666666665,batting,MLB
1882,R_roll3,3424.3333333333335,batting,MLB
1883,R_roll3,3882.3333333333335,batting,MLB
1884,R_roll3,4416.666666666667,batting,MLB
1885,R_roll3,4666.666666666667,batting,MLB
1886,R_roll3,4873.333333333333,batting,MLB
1887,R_roll3,5258.333333333333,batting,MLB
1888,R_roll3,5435.0,batting,MLB
1889,R_roll3,5774.333333333333,batting,MLB
1890,R_roll3,5716.666666666667,batting,MLB
1891,R_roll3,6109.0,batting,MLB
1892,R_roll3,7170.666666666667,batting,MLB
1893,R_roll3,8605.666666666666,batting,MLB
1894,R_roll3,10499.666666666666,batting,MLB
1895,R_roll3,10875.0,batting,MLB
1896,R_roll3,10623.333333333334,batting,MLB
1897,R_roll3,9870.0,batting,MLB
1898,R_roll3,9408.333333333334,batting,MLB
1899,R_roll3,9445.666666666666,batting,MLB
1900,R_roll3,8244.333333333334,batting,MLB
1901,R_roll3,8892.333333333334,batting,MLB
1902,R_roll3,8967.333333333334,batting,MLB
1903,R_roll3,10286.0,batting,MLB
1904,R_roll3,9695.666666666666,batting,MLB
1905,R_roll3,9608.333333333334,batting,MLB
1906,R_roll3,9270.333333333334,batting,MLB
1907,R_roll3,9067.0,batting,MLB
1908,R_roll3,8661.0,batting,MLB
1909,R_roll3,8635.333333333334,batting,MLB
1910,R_roll3,8930.333333333334,batting,MLB
1911,R_roll3,9845.0,batting,MLB
1912,R_roll3,10634.333333333334,batting,MLB
1913,R_roll3,10762.0,batting,MLB
1914,R_roll3,10177.0,batting,MLB
1915,R_roll3,9603.0,batting,MLB
1916,R_roll3,9246.0,batting,MLB
1917,R_roll3,9094.0,batting,MLB
1918,R_roll3,8407.0,batting,MLB
1919,R_roll3,8333.333333333334,batting,MLB
1920,R_roll3,8937.333333333334,batting,MLB
1921,R_roll3,10452.666666666666,batting,MLB
1922,R_roll3,11582.333333333334,batting,MLB
1923,R_roll3,11952.333333333334,batting,MLB
1924,R_roll3,11881.666666666666,batting,MLB
1925,R_roll3,12060.333333333334,batting,MLB
1926,R_roll3,11917.333333333334,batting,MLB
1927,R_roll3,11928.0,batting,MLB
1928,R_roll3,11613.666666666666,batting,MLB
1929,R_roll3,12049.0,batting,MLB
1930,R_roll3,12698.0,batting,MLB
1931,R_roll3,12778.333333333334,batting,MLB
1932,R_roll3,12566.666666666666,batting,MLB
1933,R_roll3,11664.666666666666,batting,MLB
1934,R_roll3,11700.666666666666,batting,MLB
1935,R_roll3,11671.333333333334,batting,MLB
1936,R_roll3,12290.333333333334,batting,MLB
1937,R_roll3,12314.0,batting,MLB
1938,R_roll3,12295.0,batting,MLB
1939,R_roll3,11971.666666666666,batting,MLB
1940,R_roll3,11804.333333333334,batting,MLB
1941,R_roll3,11537.333333333334,batting,MLB
1942,R_roll3,10910.333333333334,batting,MLB
1943,R_roll3,10283.333333333334,batting,MLB
1944,R_roll3,10010.666666666666,batting,MLB
1945,R_roll3,10107.666666666666,batting,MLB
1946,R_roll3,10196.333333333334,batting,MLB
1947,R_roll3,10355.333333333334,batting,MLB
1948,R_roll3,10702.333333333334,batting,MLB
1949,R_roll3,11193.0,batting,MLB
1950,R_roll3,11588.333333333334,batting,MLB
1951,R_roll3,11568.666666666666,batting,MLB
1952,R_roll3,11210.0,batting,MLB
1953,R_roll3,11014.333333333334,batting,MLB
1954,R_roll3,10867.333333333334,batting,MLB
1955,R_roll3,11107.0,batting,MLB
1956,R_roll3,10975.333333333334,batting,MLB
1957,R_roll3,10911.666666666666,batting,MLB
1958,R_roll3,10748.333333333334,batting,MLB
1959,R_roll3,10689.0,batting,MLB
1960,R_roll3,10698.333333333334,batting,MLB
1961,R_roll3,11486.333333333334,batting,MLB
1962,R_roll3,12689.0,batting,MLB
1963,R_roll3,13394.333333333334,batting,MLB
1964,R_roll3,13455.0,batting,MLB
1965,R_roll3,12950.0,batting,MLB
1966,R_roll3,12990.0,batting,MLB
1967,R_roll3,12685.333333333334,batting,MLB
1968,R_roll3,12073.0,batting,MLB
1969,R_roll3,13056.333333333334,batting,MLB
1970,R_roll3,14613.0,batting,MLB
1971,R_roll3,15934.333333333334,batting,MLB
1972,R_roll3,15219.666666666666,batting,MLB
1973,R_roll3,15051.666666666666,batting,MLB
1974,R_roll3,15376.0,batting,MLB
1975,R_roll3,16239.0,batting,MLB
1976,R_roll3,15944.333333333334,batting,MLB
1977,R_roll3,16863.333333333332,batting,MLB
1978,R_roll3,17182.0,batting,MLB
1979,R_roll3,18255.666666666668,batting,MLB
1980,R_roll3,18005.666666666668,batting,MLB
1981,R_roll3,15971.0,batting,MLB
1982,R_roll3,15770.0,batting,MLB
1983,R_roll3,15809.0,batting,MLB
1984,R_roll3,18067.0,batting,MLB
1985,R_roll3,18102.333333333332,batting,MLB
1986,R_roll3,18227.333333333332,batting,MLB
1987,R_roll3,18881.333333333332,batting,MLB
1988,R_roll3,18602.666666666668,batting,MLB
1989,R_roll3,18222.666666666668,batting,MLB
1990,R_roll3,17568.0,batting,MLB
1991,R_roll3,17817.0,batting,MLB
1992,R_roll3,17795.666666666668,batting,MLB
1993,R_roll3,18777.333333333332,batting,MLB
1994,R_roll3,17985.666666666668,batting,MLB
1995,R_roll3,18723.333333333332,batting,MLB
1996,R_roll3,19379.0,batting,MLB
1997,R_roll3,21329.666666666668,batting,MLB
1998,R_roll3,22577.333333333332,batting,MLB
1999,R_roll3,23197.333333333332,batting,MLB
2000,R_roll3,24319.666666666668,batting,MLB
2001,R_roll3,24287.0,batting,MLB
2002,R_roll3,23526.0,batting,MLB
2003,R_roll3,22861.666666666668,batting,MLB
2004,R_roll3,22920.666666666668,batting,MLB
2005,R_roll3,22893.0,batting,MLB
2006,R_roll3,23100.0,batting,MLB
2007,R_roll3,23082.0,batting,MLB
2008,R_roll3,23168.666666666668,batting,MLB
2009,R_roll3,22775.333333333332,batting,MLB
2010,R_roll3,22104.0,batting,MLB
2011,R_roll3,21511.666666666668,batting,MLB
2012,R_roll3,21044.333333333332,batting,MLB
2013,R_roll3,20693.333333333332,batting,MLB
2014,R_roll3,20344.333333333332,batting,MLB
2015,R_roll3,20221.0,batting,MLB
2016,R_roll3,20717.333333333332,batting,MLB
2017,R_roll3,21657.666666666668,batting,MLB
2018,R_roll3,21985.333333333332,batting,MLB
2019,R_roll3,22559.666666666668,batting,MLB
2020,R_roll3,17813.666666666668,batting,MLB
2021,R_roll3,17940.333333333332,batting,MLB
2022,R_roll3,17057.0,batting,MLB
2023,R_roll3,21753.0,batting,MLB
2024,R_roll3,21530.666666666668,batting,MLB
1876,RBI_roll3,1984.0,batting,MLB
1877,RBI_roll3,1697.0,batting,MLB
1878,RBI_roll3,1575.0,batting,MLB
1879,RBI_roll3,1699.3333333333333,batting,MLB
1880,RBI_roll3,1970.3333333333333,batting,MLB
1881,RBI_roll3,2356.0,batting,MLB
1882,RBI_roll3,2463.3333333333335,batting,MLB
1883,RBI_roll3,2785.0,batting,MLB
1884,RBI_roll3,3132.0,batting,MLB
1885,RBI_roll3,3270.3333333333335,batting,MLB
1886,RBI_roll3,3497.6666666666665,batting,MLB
1887,RBI_roll3,3954.3333333333335,batting,MLB
1888,RBI_roll3,4180.333333333333,batting,MLB
1889,RBI_roll3,4553.0,batting,MLB
1890,RBI_roll3,4452.333333333333,batting,MLB
1891,RBI_roll3,4853.333333333333,batting,MLB
1892,RBI_roll3,5644.0,batting,MLB
1893,RBI_roll3,6963.666666666667,batting,MLB
1894,RBI_roll3,8633.0,batting,MLB
1895,RBI_roll3,9115.0,batting,MLB
1896,RBI_roll3,8944.666666666666,batting,MLB
1897,RBI_roll3,8288.333333333334,batting,MLB
1898,RBI_roll3,7896.333333333333,batting,MLB
1899,RBI_roll3,7880.333333333333,batting,MLB
1900,RBI_roll3,6850.333333333333,batting,MLB
1901,RBI_roll3,7352.333333333333,batting,MLB
1902,RBI_roll3,7439.333333333333,batting,MLB
1903,RBI_roll3,8512.666666666666,batting,MLB
1904,RBI_roll3,7997.666666666667,batting,MLB
1905,RBI_roll3,7890.333333333333,batting,MLB
1906,RBI_roll3,7602.0,batting,MLB
1907,RBI_roll3,7430.0,batting,MLB
1908,RBI_roll3,7058.666666666667,batting,MLB
1909,RBI_roll3,7007.333333333333,batting,MLB
1910,RBI_roll3,7268.333333333333,batting,MLB
1911,RBI_roll3,8100.333333333333,batting,MLB
1912,RBI_roll3,8840.666666666666,batting,MLB
1913,RBI_roll3,9004.666666666666,batting,MLB
1914,RBI_roll3,8519.333333333334,batting,MLB
1915,RBI_roll3,8026.666666666667,batting,MLB
1916,RBI_roll3,7749.333333333333,batting,MLB
1917,RBI_roll3,7647.666666666667,batting,MLB
1918,RBI_roll3,7091.666666666667,batting,MLB
1919,RBI_roll3,7060.666666666667,batting,MLB
1920,RBI_roll3,7655.666666666667,batting,MLB
1921,RBI_roll3,9159.0,batting,MLB
1922,RBI_roll3,10279.666666666666,batting,MLB
1923,RBI_roll3,10721.666666666666,batting,MLB
1924,RBI_roll3,10686.666666666666,batting,MLB
1925,RBI_roll3,10898.333333333334,batting,MLB
1926,RBI_roll3,10825.0,batting,MLB
1927,RBI_roll3,10876.0,batting,MLB
1928,RBI_roll3,10648.0,batting,MLB
1929,RBI_roll3,11096.666666666666,batting,MLB
1930,RBI_roll3,11758.666666666666,batting,MLB
1931,RBI_roll3,11862.333333333334,batting,MLB
1932,RBI_roll3,11693.333333333334,batting,MLB
1933,RBI_roll3,10848.333333333334,batting,MLB
1934,RBI_roll3,10905.0,batting,MLB
1935,RBI_roll3,10861.333333333334,batting,MLB
1936,RBI_roll3,11435.0,batting,MLB
1937,RBI_roll3,11431.333333333334,batting,MLB
1938,RBI_roll3,11458.333333333334,batting,MLB
1939,RBI_roll3,11161.666666666666,batting,MLB
1940,RBI_roll3,10993.0,batting,MLB
1941,RBI_roll3,10689.0,batting,MLB
1942,RBI_roll3,10071.333333333334,batting,MLB
1943,RBI_roll3,9488.666666666666,batting,MLB
1944,RBI_roll3,9240.0,batting,MLB
1945,RBI_roll3,9344.0,batting,MLB
1946,RBI_roll3,9427.666666666666,batting,MLB
1947,RBI_roll3,9604.666666666666,batting,MLB
1948,RBI_roll3,9968.0,batting,MLB
1949,RBI_roll3,10447.0,batting,MLB
1950,RBI_roll3,10833.333333333334,batting,MLB
1951,RBI_roll3,10811.666666666666,batting,MLB
1952,RBI_roll3,10488.0,batting,MLB
1953,RBI_roll3,10303.0,batting,MLB
1954,RBI_roll3,10184.333333333334,batting,MLB
1955,RBI_roll3,10421.0,batting,MLB
1956,RBI_roll3,10293.0,batting,MLB
1957,RBI_roll3,10244.666666666666,batting,MLB
1958,RBI_roll3,10103.0,batting,MLB
1959,RBI_roll3,10052.0,batting,MLB
1960,RBI_roll3,10033.666666666666,batting,MLB
1961,RBI_roll3,10735.666666666666,batting,MLB
1962,RBI_roll3,11858.666666666666,batting,MLB
1963,RBI_roll3,12504.0,batting,MLB
1964,RBI_roll3,12561.0,batting,MLB
1965,RBI_roll3,12049.666666666666,batting,MLB
1966,RBI_roll3,12081.0,batting,MLB
1967,RBI_roll3,11758.333333333334,batting,MLB
1968,RBI_roll3,11190.666666666666,batting,MLB
1969,RBI_roll3,12078.666666666666,batting,MLB
1970,RBI_roll3,13577.666666666666,batting,MLB
1971,RBI_roll3,14833.666666666666,batting,MLB
1972,RBI_roll3,14196.333333333334,batting,MLB
1973,RBI_roll3,14027.0,batting,MLB
1974,RBI_roll3,14287.333333333334,batting,MLB
1975,RBI_roll3,15088.333333333334,batting,MLB
1976,RBI_roll3,14791.333333333334,batting,MLB
1977,RBI_roll3,15704.0,batting,MLB
1978,RBI_roll3,16019.0,batting,MLB
1979,RBI_roll3,17084.0,batting,MLB
1980,RBI_roll3,16861.333333333332,batting,MLB
1981,RBI_roll3,14979.0,batting,MLB
1982,RBI_roll3,14799.333333333334,batting,MLB
1983,RBI_roll3,14845.666666666666,batting,MLB
1984,RBI_roll3,16954.666666666668,batting,MLB
1985,RBI_roll3,16991.333333333332,batting,MLB
1986,RBI_roll3,17101.0,batting,MLB
1987,RBI_roll3,17746.0,batting,MLB
1988,RBI_roll3,17442.666666666668,batting,MLB
1989,RBI_roll3,17053.666666666668,batting,MLB
1990,RBI_roll3,16417.333333333332,batting,MLB
1991,RBI_roll3,16693.666666666668,batting,MLB
1992,RBI_roll3,16711.333333333332,batting,MLB
1993,RBI_roll3,17642.0,batting,MLB
1994,RBI_roll3,16912.0,batting,MLB
1995,RBI_roll3,17630.0,batting,MLB
1996,RBI_roll3,18288.0,batting,MLB
1997,RBI_roll3,20158.0,batting,MLB
1998,RBI_roll3,21372.666666666668,batting,MLB
1999,RBI_roll3,22003.0,batting,MLB
2000,RBI_roll3,23092.0,batting,MLB
2001,RBI_roll3,23094.666666666668,batting,MLB
2002,RBI_roll3,22385.0,batting,MLB
2003,RBI_roll3,21768.666666666668,batting,MLB
2004,RBI_roll3,21822.0,batting,MLB
2005,RBI_roll3,21794.0,batting,MLB
2006,RBI_roll3,21995.666666666668,batting,MLB
2007,RBI_roll3,21998.666666666668,batting,MLB
2008,RBI_roll3,22096.333333333332,batting,MLB
2009,RBI_roll3,21720.666666666668,batting,MLB
2010,RBI_roll3,21064.333333333332,batting,MLB
2011,RBI_roll3,20485.333333333332,batting,MLB
2012,RBI_roll3,20030.0,batting,MLB
2013,RBI_roll3,19691.0,batting,MLB
2014,RBI_roll3,19338.0,batting,MLB
2015,RBI_roll3,19222.0,batting,MLB
2016,RBI_roll3,19713.333333333332,batting,MLB
2017,RBI_roll3,20651.0,batting,MLB
2018,RBI_roll3,20969.666666666668,batting,MLB
2019,RBI_roll3,21545.0,batting,MLB
2020,RBI_roll3,17018.333333333332,batting,MLB
2021,RBI_roll3,17147.333333333332,batting,MLB
2022,RBI_roll3,16286.333333333334,batting,MLB
2023,RBI_roll3,20797.666666666668,batting,MLB
2024,RBI_roll3,20593.0,batting,MLB
1876,BB_roll3,336.0,batting,MLB
1877,BB_roll3,340.5,batting,MLB
1878,BB_roll3,348.3333333333333,batting,MLB
1879,BB_roll3,405.6666666666667,batting,MLB
1880,BB_roll3,537.3333333333334,batting,MLB
1881,BB_roll3,760.3333333333334,batting,MLB
1882,BB_roll3,911.0,batting,MLB
1883,BB_roll3,1038.0,batting,MLB
1884,BB_roll3,1300.6666666666667,batting,MLB
1885,BB_roll3,1595.6666666666667,batting,MLB
1886,BB_roll3,2012.6666666666667,batting,MLB
1887,BB_roll3,2316.6666666666665,batting,MLB
1888,BB_roll3,2399.3333333333335,batting,MLB
1889,BB_roll3,2812.6666666666665,batting,MLB
1890,BB_roll3,3159.3333333333335,batting,MLB
1891,BB_roll3,3729.6666666666665,batting,MLB
1892,BB_roll3,4585.0,batting,MLB
1893,BB_roll3,5375.0,batting,MLB
1894,BB_roll3,6063.666666666667,batting,MLB
1895,BB_roll3,5711.0,batting,MLB
1896,BB_roll3,5281.333333333333,batting,MLB
1897,BB_roll3,4901.0,batting,MLB
1898,BB_roll3,4891.666666666667,batting,MLB
1899,BB_roll3,4933.333333333333,batting,MLB
1900,BB_roll3,4368.333333333333,batting,MLB
1901,BB_roll3,4492.666666666667,batting,MLB
1902,BB_roll3,4647.0,batting,MLB
1903,BB_roll3,5425.333333333333,batting,MLB
1904,BB_roll3,5463.666666666667,batting,MLB
1905,BB_roll3,5712.666666666667,batting,MLB
1906,BB_roll3,5979.333333333333,batting,MLB
1907,BB_roll3,6153.0,batting,MLB
1908,BB_roll3,6043.333333333333,batting,MLB
1909,BB_roll3,6155.333333333333,batting,MLB
1910,BB_roll3,6594.666666666667,batting,MLB
1911,BB_roll3,7254.0,batting,MLB
1912,BB_roll3,7646.666666666667,batting,MLB
1913,BB_roll3,7596.0,batting,MLB
1914,BB_roll3,7490.0,batting,MLB
1915,BB_roll3,7423.333333333333,batting,MLB
1916,BB_roll3,7359.666666666667,batting,MLB
1917,BB_roll3,7156.333333333333,batting,MLB
1918,BB_roll3,6578.333333333333,batting,MLB
1919,BB_roll3,6213.666666666667,batting,MLB
1920,BB_roll3,6183.666666666667,batting,MLB
1921,BB_roll3,6549.666666666667,batting,MLB
1922,BB_roll3,6973.333333333333,batting,MLB
1923,BB_roll3,7221.0,batting,MLB
1924,BB_roll3,7393.333333333333,batting,MLB
1925,BB_roll3,7557.0,batting,MLB
1926,BB_roll3,7603.666666666667,batting,MLB
1927,BB_roll3,7630.666666666667,batting,MLB
1928,BB_roll3,7604.333333333333,batting,MLB
1929,BB_roll3,7700.666666666667,batting,MLB
1930,BB_roll3,7770.333333333333,batting,MLB
1931,BB_roll3,7775.0,batting,MLB
1932,BB_roll3,7627.333333333333,batting,MLB
1933,BB_roll3,7524.0,batting,MLB
1934,BB_roll3,7582.666666666667,batting,MLB
1935,BB_roll3,7677.666666666667,batting,MLB
1936,BB_roll3,8035.666666666667,batting,MLB
1937,BB_roll3,8231.666666666666,batting,MLB
1938,BB_roll3,8497.666666666666,batting,MLB
1939,BB_roll3,8517.666666666666,batting,MLB
1940,BB_roll3,8461.0,batting,MLB
1941,BB_roll3,8545.666666666666,batting,MLB
1942,BB_roll3,8517.333333333334,batting,MLB
1943,BB_roll3,8546.666666666666,batting,MLB
1944,BB_roll3,8228.0,batting,MLB
1945,BB_roll3,8196.666666666666,batting,MLB
1946,BB_roll3,8343.0,batting,MLB
1947,BB_roll3,8772.0,batting,MLB
1948,BB_roll3,9213.333333333334,batting,MLB
1949,BB_roll3,9622.333333333334,batting,MLB
1950,BB_roll3,9868.333333333334,batting,MLB
1951,BB_roll3,9742.0,batting,MLB
1952,BB_roll3,9325.333333333334,batting,MLB
1953,BB_roll3,8901.0,batting,MLB
1954,BB_roll3,8830.333333333334,batting,MLB
1955,BB_roll3,8919.333333333334,batting,MLB
1956,BB_roll3,9024.333333333334,batting,MLB
1957,BB_roll3,8736.0,batting,MLB
1958,BB_roll3,8430.333333333334,batting,MLB
1959,BB_roll3,8159.333333333333,batting,MLB
1960,BB_roll3,8231.666666666666,batting,MLB
1961,BB_roll3,8821.666666666666,batting,MLB
1962,BB_roll3,9739.0,batting,MLB
1963,BB_roll3,10141.333333333334,batting,MLB
1964,BB_roll3,10049.333333333334,batting,MLB
1965,BB_roll3,9749.333333333334,batting,MLB
1966,BB_roll3,9662.666666666666,batting,MLB
1967,BB_roll3,9677.333333333334,batting,MLB
1968,BB_roll3,9384.0,batting,MLB
1969,BB_roll3,10750.0,batting,MLB
1970,BB_roll3,12104.0,batting,MLB
1971,BB_roll3,13230.666666666666,batting,MLB
1972,BB_roll3,12663.333333333334,batting,MLB
1973,BB_roll3,12454.333333333334,batting,MLB
1974,BB_roll3,12596.666666666666,batting,MLB
1975,BB_roll3,13155.0,batting,MLB
1976,BB_roll3,12918.666666666666,batting,MLB
1977,BB_roll3,13183.333333333334,batting,MLB
1978,BB_roll3,13238.0,batting,MLB
1979,BB_roll3,13641.333333333334,batting,MLB
1980,BB_roll3,13452.333333333334,batting,MLB
1981,BB_roll3,11886.333333333334,batting,MLB
1982,BB_roll3,11786.666666666666,batting,MLB
1983,BB_roll3,11896.0,batting,MLB
1984,BB_roll3,13380.0,batting,MLB
1985,BB_roll3,13558.666666666666,batting,MLB
1986,BB_roll3,13795.0,batting,MLB
1987,BB_roll3,14151.333333333334,batting,MLB
1988,BB_roll3,13866.666666666666,batting,MLB
1989,BB_roll3,13633.666666666666,batting,MLB
1990,BB_roll3,13454.666666666666,batting,MLB
1991,BB_roll3,13788.0,batting,MLB
1992,BB_roll3,13839.333333333334,batting,MLB
1993,BB_roll3,14258.666666666666,batting,MLB
1994,BB_roll3,13307.666666666666,batting,MLB
1995,BB_roll3,13493.666666666666,batting,MLB
1996,BB_roll3,13821.333333333334,batting,MLB
1997,BB_roll3,15333.0,batting,MLB
1998,BB_roll3,16068.666666666666,batting,MLB
1999,BB_roll3,16668.0,batting,MLB
2000,BB_roll3,17525.0,batting,MLB
2001,BB_roll3,17311.333333333332,batting,MLB
2002,BB_roll3,16763.0,batting,MLB
2003,BB_roll3,15980.333333333334,batting,MLB
2004,BB_roll3,16119.0,batting,MLB
2005,BB_roll3,15772.666666666666,batting,MLB
2006,BB_roll3,15758.666666666666,batting,MLB
2007,BB_roll3,15711.0,batting,MLB
2008,BB_roll3,16087.666666666666,batting,MLB
2009,BB_roll3,16345.333333333334,batting,MLB
2010,BB_roll3,16245.0,batting,MLB
2011,BB_roll3,15805.333333333334,batting,MLB
2012,BB_roll3,15168.333333333334,batting,MLB
2013,BB_roll3,14789.0,batting,MLB
2014,BB_roll3,14456.333333333334,batting,MLB
2015,BB_roll3,14244.333333333334,batting,MLB
2016,BB_roll3,14393.666666666666,batting,MLB
2017,BB_roll3,14996.666666666666,batting,MLB
2018,BB_roll3,15534.333333333334,batting,MLB
2019,BB_roll3,15803.333333333334,batting,MLB
2020,BB_roll3,12557.666666666666,batting,MLB
2021,BB_roll3,12593.666666666666,batting,MLB
2022,BB_roll3,12246.333333333334,batting,MLB
2023,BB_roll3,15488.666666666666,batting,MLB
2024,BB_roll3,15200.333333333334,batting,MLB
1876,SO_roll3,589.0,batting,MLB
1877,SO_roll3,657.5,batting,MLB
1878,SO_roll3,798.6666666666666,batting,MLB
1879,SO_roll3,1216.6666666666667,batting,MLB
1880,SO_roll3,1639.0,batting,MLB
1881,SO_roll3,1873.3333333333333,batting,MLB
1882,SO_roll3,1978.6666666666667,batting,MLB
1883,SO_roll3,2273.3333333333335,batting,MLB
1884,SO_roll3,3123.6666666666665,batting,MLB
1885,SO_roll3,3516.3333333333335,batting,MLB
1886,SO_roll3,3973.3333333333335,batting,MLB
1887,SO_roll3,3468.6666666666665,batting,MLB
1888,SO_roll3,3689.0,batting,MLB
1889,SO_roll3,3437.0,batting,MLB
1890,SO_roll3,3690.3333333333335,batting,MLB
1891,SO_roll3,3571.3333333333335,batting,MLB
1892,SO_roll3,4398.0,batting,MLB
1893,SO_roll3,4318.0,batting,MLB
1894,SO_roll3,4215.333333333333,batting,MLB
1895,SO_roll3,3431.6666666666665,batting,MLB
1896,SO_roll3,3492.3333333333335,batting,MLB
1897,SO_roll3,3624.3333333333335,batting,MLB
1898,SO_roll3,3825.0,batting,MLB
1899,SO_roll3,3933.6666666666665,batting,MLB
1900,SO_roll3,3584.3333333333335,batting,MLB
1901,SO_roll3,4502.0,batting,MLB
1902,SO_roll3,5429.0,batting,MLB
1903,SO_roll3,7168.333333333333,batting,MLB
1904,SO_roll3,7942.666666666667,batting,MLB
1905,SO_roll3,8907.0,batting,MLB
