year,mlbam,vhb,pitches,z_whiff_rate,o_swing_rate,z_contact_rate,hardhit_rate,barrel_rate,chase_rate,z_csw_rate
2015,112526,vsR,174.0,0.5804597701149425,0.2545106234761407,0.0,0.0,0.0,0.2545106234761407,0.09911512497719392
2015,115629,vsR,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,116338,vsR,1962.0,0.9378185524974516,0.10857290656000222,0.0,0.0,0.0,0.10857290656000222,0.11291221455388628
2015,120074,vsL,2292.0,0.8691099476439791,0.08820149681014465,0.0,0.0,0.0,0.08820149681014465,0.10489356764809096
2015,121347,vsR,2335.0,0.9700214132762313,0.1067498401457966,0.0,0.0,0.0,0.1067498401457966,0.16605568971495335
2015,133380,vsR,1679.0,0.8159618820726623,0.0848337882210875,0.0,0.0,0.0,0.0848337882210875,0.06979870672666436
2015,134181,vsR,2202.0,0.8278837420526793,0.0979053856996055,0.0,0.0,0.0,0.0979053856996055,0.05607348812689098
2015,136860,vsL,1374.0,0.7117903930131004,0.08692485802071288,0.0,0.0,0.0,0.08692485802071288,0.04498724823191313
2015,136860,vsR,564.0,0.675531914893617,0.0725383546475701,0.0,0.0,0.0,0.0725383546475701,0.059173566131636955
2015,150029,vsR,1497.0,0.948563794255177,0.08591973339441375,0.0,0.0,0.0,0.08591973339441375,0.08662760052457205
2015,150212,vsR,1467.0,0.8650306748466258,0.15411409844611354,0.0,0.0,0.0,0.15411409844611354,0.0789626450163422
2015,150229,vsL,1380.0,0.841304347826087,0.07618258037934993,0.0,0.0,0.0,0.07618258037934993,0.062579286994408
2015,150302,vsL,42.0,0.6190476190476191,0.20238095238095238,0.0,0.0,0.0,0.20238095238095238,0.12236652236652235
2015,150359,vsR,163.0,0.2822085889570552,0.11016652059596845,0.0,0.0,0.0,0.11016652059596845,0.1111111111111111
2015,217100,vsR,221.0,0.5610859728506787,0.13255724320575307,0.0,0.0,0.0,0.13255724320575307,0.062287948697684996
2015,218596,vsR,116.0,0.5603448275862069,0.16594827586206898,0.0,0.0,0.0,0.16594827586206898,0.11371451026623437
2015,276519,vsL,1582.0,0.8495575221238938,0.08281675992277705,0.0,0.0,0.0,0.08281675992277705,0.05673956064966069
2015,276519,vsR,423.0,0.7754137115839244,0.06879901684866223,0.0,0.0,0.0,0.06879901684866223,0.08876069402896414
2015,279824,vsL,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,282332,vsL,8.0,0.125,0.375,0.0,0.0,0.0,0.375,0.125
2015,285064,vsR,156.0,0.48717948717948717,0.10215549557654817,0.0,0.0,0.0,0.10215549557654817,0.09606837606837607
2015,285078,vsL,718.0,0.7841225626740947,0.20978317524194007,0.0,0.0,0.0,0.20978317524194007,0.16458470063607725
2015,285079,vsR,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,329092,vsL,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,346793,vsL,9.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111
2015,346798,vsR,139.0,0.5323741007194245,0.12589928057553956,0.0,0.0,0.0,0.12589928057553956,0.09736211031175059
2015,346874,vsR,1444.0,0.909972299168975,0.11037221260549694,0.0,0.0,0.0,0.11037221260549694,0.10387928586525082
2015,400085,vsL,1516.0,0.7222955145118733,0.040739201584747274,0.0,0.0,0.0,0.040739201584747274,0.03674065160279706
2015,400121,vsL,1435.0,0.8174216027874565,0.04781305384115018,0.0,0.0,0.0,0.04781305384115018,0.06989559905795124
2015,400121,vsR,360.0,0.5527777777777778,0.07105319032155948,0.0,0.0,0.0,0.07105319032155948,0.04227863556924354
2015,400284,vsL,1484.0,0.7809973045822103,0.06979681440905862,0.0,0.0,0.0,0.06979681440905862,0.042326865658943204
2015,405395,vsR,2329.0,0.8531558608844998,0.07797729168113336,0.0,0.0,0.0,0.07797729168113336,0.045897303373569245
2015,407781,vsR,1850.0,0.9464864864864865,0.18858420655580588,0.0,0.0,0.0,0.18858420655580588,0.1495728337758471
2015,407793,vsR,220.0,0.7545454545454545,0.15346837944664032,0.0,0.0,0.0,0.15346837944664032,0.11966666666666666
2015,407812,vsR,1070.0,0.8121495327102803,0.09386639985606007,0.0,0.0,0.0,0.09386639985606007,0.12346802456744861
2015,407822,vsL,156.0,0.717948717948718,0.16236504723346826,0.0,0.0,0.0,0.16236504723346826,0.12350935068987806
2015,407862,vsR,80.0,0.0875,0.0375,0.0,0.0,0.0,0.0375,0.021875
2015,407890,vsR,10.0,0.4,0.5,0.0,0.0,0.0,0.5,0.4
2015,407893,vsL,1121.0,0.8795718108831401,0.08934625031277055,0.0008920606601248885,0.0,0.0,0.08934625031277055,0.1257652794559931
2015,407893,vsR,593.0,0.6762225969645869,0.04503948788989954,0.0,0.0,0.0,0.04503948788989954,0.04985701474397273
2015,407908,vsR,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,408042,vsR,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,408045,vsL,2512.0,0.8953025477707006,0.06421184394362509,0.0,0.0,0.0,0.06421184394362509,0.05658188371558319
2015,408047,vsL,575.0,0.5930434782608696,0.09608818513176168,0.0,0.0,0.0,0.09608818513176168,0.0754393432654302
2015,408234,vsR,1821.0,0.8187808896210873,0.09172199226819393,0.0,0.0,0.0,0.09172199226819393,0.09581472226503723
2015,408236,vsL,2401.0,0.8954602249062891,0.10266103989167791,0.0,0.0,0.0,0.10266103989167791,0.10509264645724599
