player_uid,season,league,team_id,name_full,avg,obp,slg,woba,wrc_plus,bb_pct,k_pct,iso,babip,pa,pa_or_bf,era,fip,xfip,k9,bb9,hr9,war,wraa,raa_def,raa_bsr,standard_scale,age,last_update_utc,data_version
milb_tmp:cam_devanney:2024,2024,MiLB,KCR,Cam Devanney,0.253796095,0.335892514,0.444685466,0.3466251498231521,99.65574661406076,0.089694656,0.259541984,0.190889371,0.318181818,524.0,524.0,,,,,,,,1.6251509895366731,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:grant_mccray:2024,2024,MiLB,SFG,Grant McCray,0.241935483,0.33016627,0.446236559,0.3471982981699946,113.03075167574976,0.106888361,0.287410926,0.204301076,0.326359832,421.0,421.0,,,,,,,,3.406304153733496,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:dustin_harris:2024,2024,MiLB,TEX,Dustin Harris,0.271604938,0.357651245,0.390946502,0.3387210274041767,92.98891946921027,0.108156028,0.218085106,0.119341564,0.338888888,564.0,564.0,,,,,,,,-8.284078020748552,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:blaine_crim:2024,2024,MiLB,TEX,Blaine Crim,0.277227722,0.370307167,0.46930693,0.3722044355633316,114.02847579280062,0.119453924,0.172354948,0.192079208,0.30927835,586.0,586.0,,,,,,,,9.183838561040078,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:tyler_tolbert:2024,2024,MiLB,KCR,Tyler Tolbert,0.239915074,0.32330827,0.322717622,0.3066192426179585,84.5241433135653,0.085144927,0.231884057,0.082802548,0.319648093,552.0,552.0,,,,,,,,-10.172750215271495,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:blake_sabol:2024,2024,MiLB,SFG,Blake Sabol,0.245070422,0.33737864,0.394366197,0.3313667156453271,96.45422495372983,0.11566265,0.243373493,0.149295775,0.303643724,415.0,415.0,,,,,,,,-8.525012044836416,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:andre_lipcius:2024,2024,MiLB,LAD,Andre Lipcius,0.270944741,0.35062893,0.458110516,0.3564989113432216,106.01901128824085,0.106918238,0.227987421,0.187165775,0.321518987,636.0,636.0,,,,,,,,0.9104508974405592,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:matt_gorski:2024,2024,MiLB,PIT,Matt Gorski,0.257069408,0.319444444,0.521850899,0.3591618670664918,111.59114837396775,0.087759815,0.286374133,0.264781491,0.31174089,433.0,433.0,,,,,,,,6.009797637485317,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:kevin_alcantara:2024,2024,MiLB,CHC,Kevin Alcantara,0.277909738,0.353065539,0.427553444,0.3596277371773508,121.23730797815,0.09936575,0.260042283,0.149643706,0.36013986,473.0,473.0,,,,,,,,13.227229828449516,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
milb_tmp:troy_johnston:2024,2024,MiLB,MIA,Troy Johnston,0.275574112,0.339015151,0.423799582,0.3419118493118069,104.70571903069776,0.070075757,0.189393939,0.14822547,0.327027027,528.0,528.0,,,,,,,,-0.5019501557070389,,,milb_std,,2025-10-05T07:08:54.113034,day55_v1
