year,league,role,age_group,weight,share
1892,MLB,batting,33-35,6585.0,0.093257424480605
1892,MLB,batting,36+,1906.0,0.02699296143660336
1893,MLB,batting,<=23,8402.0,0.1319430267435104
1893,MLB,batting,24-26,19325.0,0.30347524301575085
1893,MLB,batting,27-29,17391.0,0.2731041630678874
1893,MLB,batting,30-32,6682.0,0.10493255233279417
1893,MLB,batting,33-35,8901.0,0.13977920507545658
1893,MLB,batting,36+,2978.0,0.046765809764600576
1894,MLB,batting,<=23,8423.0,0.12918513519731292
1894,MLB,batting,24-26,15646.0,0.23996564469870094
1894,MLB,batting,27-29,22896.0,0.35116025827824726
1894,MLB,batting,30-32,9070.0,0.13910829588503243
1894,MLB,batting,33-35,6919.0,0.10611800432508704
1894,MLB,batting,36+,2247.0,0.034462661615619394
1895,MLB,batting,<=23,7603.0,0.11960232188645409
1895,MLB,batting,24-26,16227.0,0.25526593150749577
1895,MLB,batting,27-29,21020.0,0.3306643175132533
1895,MLB,batting,30-32,10818.0,0.17017728767166387
1895,MLB,batting,33-35,5444.0,0.08563922666708616
1895,MLB,batting,36+,2457.0,0.038650914754046785
1896,MLB,batting,<=23,8924.0,0.1434035031335369
1896,MLB,batting,24-26,14305.0,0.22987305158283786
1896,MLB,batting,27-29,17917.0,0.2879157962397558
1896,MLB,batting,30-32,12326.0,0.19807166961272699
1896,MLB,batting,33-35,4345.0,0.06982162943917725
1896,MLB,batting,36+,4413.0,0.07091434999196529
1897,MLB,batting,<=23,8655.0,0.13679036540649891
1897,MLB,batting,24-26,14951.0,0.23629725629030218
1897,MLB,batting,27-29,16525.0,0.261173979011253
1897,MLB,batting,30-32,14845.0,0.23462194967758251
1897,MLB,batting,33-35,4800.0,0.0758629409533443
1897,MLB,batting,36+,3496.0,0.05525350866101909
1898,MLB,batting,<=23,8131.0,0.11621691155451375
1898,MLB,batting,24-26,19514.0,0.27891487050483105
1898,MLB,batting,27-29,18114.0,0.25890457949802753
1898,MLB,batting,30-32,14084.0,0.2013035275284432
1898,MLB,batting,33-35,8016.0,0.1145732090789549
1898,MLB,batting,36+,2105.0,0.030086901835229548
1899,MLB,batting,<=23,9174.0,0.13102719378427788
1899,MLB,batting,24-26,20052.0,0.2863916819012797
1899,MLB,batting,27-29,16233.0,0.23184700639853748
1899,MLB,batting,30-32,12628.0,0.18035877513711152
1899,MLB,batting,33-35,8324.0,0.11888711151736746
1899,MLB,batting,36+,3605.0,0.05148823126142596
1900,MLB,batting,<=23,5029.0,0.11564907439346901
1900,MLB,batting,24-26,10181.0,0.2341267103598942
1900,MLB,batting,27-29,10580.0,0.24330228814533747
1900,MLB,batting,30-32,9894.0,0.22752673335632978
1900,MLB,batting,33-35,5671.0,0.1304127860181672
1900,MLB,batting,36+,2130.0,0.048982407726802346
1901,MLB,batting,<=23,9321.0,0.1095698785691615
1901,MLB,batting,24-26,25218.0,0.29644171202200564
1901,MLB,batting,27-29,22792.0,0.2679236854788466
1901,MLB,batting,30-32,15055.0,0.17697398582327287
1901,MLB,batting,33-35,8929.0,0.10496185449458675
1901,MLB,batting,36+,3754.0,0.04412888361212663
1902,MLB,batting,<=23,7949.0,0.09432999477856363
1902,MLB,batting,24-26,21926.0,0.26019366782171166
1902,MLB,batting,27-29,26026.0,0.30884796126643566
1902,MLB,batting,30-32,15570.0,0.18476764608154933
1902,MLB,batting,33-35,6521.0,0.07738406037879147
1902,MLB,batting,36+,6276.0,0.0744766696729482
1903,MLB,batting,<=23,7380.0,0.08833139834109326
1903,MLB,batting,24-26,19918.0,0.2383990233276281
1903,MLB,batting,27-29,28258.0,0.33822068486756274
1903,MLB,batting,30-32,14500.0,0.17355085039916696
1903,MLB,batting,33-35,9187.0,0.10995942500807909
1903,MLB,batting,36+,4306.0,0.05153861805646986
1904,MLB,batting,<=23,8949.0,0.09827154528683124
1904,MLB,batting,24-26,17994.0,0.19759729421066502
1904,MLB,batting,27-29,28742.0,0.3156241764034086
1904,MLB,batting,30-32,20956.0,0.2301238689273478
1904,MLB,batting,33-35,10370.0,0.11387595537204603
