player_uid,season,league,team_id,name_full,era,fip,xfip,k9,bb9,hr9
milb_tmp:michael_mariot:2024,2024,MiLB,SEA,Michael Mariot,5.841688889543796,5.394024200363635,5.683362214431353,7.195250949316138,2.350923577499332,1.4960422765904842
milb_tmp:casey_lawrence:2024,2024,MiLB,SEA,Casey Lawrence,5.945454545454545,6.167990716298421,5.3983891096982095,5.890909090909091,2.618181818181818,1.8545454545454545
milb_tmp:david_buchanan:2024,2024,MiLB,CIN,David Buchanan,4.862903749409433,4.624814362915927,4.468447781866215,6.677420073815938,2.6854841601216277,1.088709794643903
milb_tmp:adrian_sampson:2024,2024,MiLB,TEX,Adrian Sampson,5.635921912634254,5.152618450389895,5.250109187273244,7.864077087396634,3.014562883502043,1.2451455388378003
milb_tmp:thomas_pannone:2024,2024,MiLB,CHC,Thomas Pannone,3.544857886411901,4.376489401007716,4.578743697827663,8.03501120920031,2.245076661394204,1.1816192954706335
milb_tmp:jason_alexander:2024,2024,MiLB,BOS,Jason Alexander,4.424096060210369,3.807603748427853,4.094363997325697,8.392770467163787,2.537349211003005,0.7807228341547708
milb_tmp:caleb_boushley:2024,2024,MiLB,MIN,Caleb Boushley,5.225806055883512,4.737783951914338,4.720138106799105,7.235731461992556,1.875930379035107,1.4739452978132983
milb_tmp:tyler_phillips:2024,2024,MiLB,PHI,Tyler Phillips,5.081461109758108,4.706690096063554,4.458815333131673,7.584270313071803,3.7162924534051833,1.0617978438300524
milb_tmp:thaddeus_ward:2024,2024,MiLB,WSN,Thaddeus Ward,5.640669003174254,5.925595710428916,5.8634326140900725,8.047354444528601,7.069638483978397,0.977715960550204
milb_tmp:daniel_lynch_iv:2024,2024,MiLB,KCR,Daniel Lynch IV,3.5446928885131874,4.465697632012739,4.441213744666329,7.164804774654315,2.413407924094085,1.1312849644191023
milb_tmp:robinson_pina:2024,2024,MiLB,PHI,Robinson Pina,4.175257896158195,4.023871846260913,3.6103388935517033,9.185567371548029,1.878866053271188,1.2525773688474584
