player_uid,season,league,team_id,name_full,avg,obp,slg,woba,wrc_plus,bb_pct,k_pct,iso,babip,pa
milb_tmp:michael_turner:2024,2024,MiLB,CHW,Michael Turner,0.218181818,0.324675324,0.281818181,0.2966764844857253,87.80596928419988,0.129870129,0.2,0.063636363,0.276679841,385
milb_tmp:druw_jones:2024,2024,MiLB,ARI,Druw Jones,0.275132275,0.408510638,0.404761904,0.3937036933929427,125.14870075385306,0.180467091,0.280254777,0.129629629,0.401639344,471
milb_tmp:brando_mayea:2024,2024,MiLB,NYY,Brando Mayea,0.281481481,0.37012987,0.325925925,0.3535747110069572,97.5336030525406,0.103896103,0.279220779,0.044444444,0.413043478,154
milb_tmp:enmanuel_bonilla:2024,2024,MiLB,TOR,Enmanuel Bonilla,0.18556701,0.257009345,0.298969072,0.2734875269582338,54.3930701369122,0.060747663,0.355140186,0.113402062,0.278260869,214
milb_tmp:andrew_pintar:2024,2024,MiLB,ARI,Andrew Pintar,0.255154639,0.353333333,0.394329896,0.350076396200392,114.5427934089003,0.123348017,0.204845814,0.139175257,0.3125,454
milb_tmp:jack_pineda:2024,2024,MiLB,KCR,Jack Pineda,0.25,0.347648261,0.372596153,0.3393713201655716,110.10979069407276,0.111553784,0.217131474,0.122596153,0.31372549,502
milb_tmp:ethan_salas:2024,2024,MiLB,SDP,Ethan Salas,0.206310679,0.287846481,0.310679611,0.28534218688001,75.3555153516287,0.100213219,0.208955223,0.104368932,0.255520504,469
milb_tmp:turner_hill:2024,2024,MiLB,SFG,Turner Hill,0.264550264,0.366292134,0.359788359,0.3431906298305211,113.78283157471756,0.118040089,0.12026726,0.095238095,0.298461538,449
milb_tmp:shawn_ross:2024,2024,MiLB,PIT,Shawn Ross,0.193442622,0.334224598,0.459016393,0.3621345438842159,120.21719854970009,0.152,0.352,0.265573771,0.235294117,375
milb_tmp:jason_hinchman:2024,2024,MiLB,COL,Jason Hinchman,0.224924012,0.335858585,0.334346504,0.3265728687938256,86.97822696708911,0.133838383,0.308080808,0.109422492,0.331753554,396
milb_tmp:demetrio_crisantes:2024,2024,MiLB,ARI,Demetrio Crisantes,0.34054054,0.429223744,0.491891891,0.4314161431078517,143.4502952467839,0.125284738,0.157175398,0.151351351,0.396666666,439
milb_tmp:kevin_dume:2024,2024,MiLB,OAK,Kevin Dume,0.275449101,0.399014778,0.377245508,0.3994326309617517,122.60104361678736,0.162561576,0.275862068,0.101796407,0.388888888,203
milb_tmp:xavier_guillen:2024,2024,MiLB,TBR,Xavier Guillen,0.276119402,0.422619047,0.470149253,0.4437941241832006,147.2792305295894,0.159763313,0.24852071,0.194029851,0.382022471,169
milb_tmp:yael_romero:2024,2024,MiLB,CIN,Yael Romero,0.291666666,0.482352941,0.433333333,0.4708993631250718,156.5696732909471,0.217647058,0.14117647,0.141666667,0.346938775,170
milb_tmp:luis_escudero:2024,2024,MiLB,NYY,Luis Escudero,0.286885245,0.45,0.418032786,0.4450852617621422,138.55414658697472,0.2125,0.075,0.131147541,0.309090909,160
milb_tmp:yoerny_junco:2024,2024,MiLB,STL,Yoerny Junco,0.267175572,0.350993377,0.366412213,0.3621061732437436,102.91297135129363,0.105960264,0.198675496,0.099236641,0.333333333,151
milb_tmp:joendry_vargas:2024,2024,MiLB,LAD,Joendry Vargas,0.302816901,0.405882352,0.492957746,0.4207926760701572,128.83047310636482,0.122807017,0.228070175,0.190140845,0.386138613,171
milb_tmp:sebastian_walcott:2024,2024,MiLB,TEX,Sebastian Walcott,0.265350877,0.34368932,0.451754385,0.3620402238944161,125.79735054969797,0.102912621,0.256310679,0.186403508,0.348101265,515
milb_tmp:ludwing_espinoza:2024,2024,MiLB,CHC,Ludwing Espinoza,0.221428571,0.347058823,0.342857142,0.3547031963572782,92.6652702972126,0.135294117,0.258823529,0.121428571,0.30927835,170
milb_tmp:janero_miller:2024,2024,MiLB,MIA,Janero Miller,0.218309859,0.348837209,0.352112676,0.3602202215860056,107.2223662406695,0.127906976,0.389534883,0.133802817,0.4,172
milb_tmp:angel_cepeda:2024,2024,MiLB,CHC,Angel Cepeda,0.298076923,0.383333333,0.427884615,0.387944637487332,111.88897095688051,0.1125,0.245833333,0.129807692,0.398648648,240
milb_tmp:luis_almeyda:2024,2024,MiLB,BAL,Luis Almeyda,0.2,0.336842105,0.316129032,0.3319360654605062,87.57651711068982,0.163157894,0.257894736,0.116129032,0.252427184,190
milb_tmp:esmil_valencia:2024,2024,MiLB,HOU,Esmil Valencia,0.288590604,0.33125,0.375838926,0.3432769503444433,98.15314887126846,0.03125,0.175,0.087248322,0.341666666,160
milb_tmp:yophery_rodriguez:2024,2024,MiLB,MIL,Yophery Rodriguez,0.25,0.342975206,0.383333333,0.3508375346168013,111.7385773073337,0.121900826,0.237603305,0.133333333,0.325581395,484
milb_tmp:arnaldo_lantigua:2024,2024,MiLB,LAD,Arnaldo Lantigua,0.300653594,0.430051813,0.575163398,0.4762200530946563,153.00976887886378,0.170984455,0.176165803,0.274509804,0.315315315,193
milb_tmp:tony_ruiz:2024,2024,MiLB,KCR,Tony Ruiz,0.201550387,0.300653594,0.348837209,0.3242203301074458,80.86914622825844,0.091503267,0.294117647,0.147286822,0.270588235,153
milb_tmp:enrique_jimenez:2024,2024,MiLB,DET,Enrique Jimenez,0.241610738,0.366120218,0.375838926,0.3670960251099425,109.5510336842324,0.153005464,0.240437158,0.134228188,0.314285714,183
milb_tmp:filippo_di_turi:2024,2024,MiLB,MIL,Filippo Di Turi,0.225,0.358056265,0.29375,0.330810953103579,92.70132236093632,0.163682864,0.214833759,0.06875,0.298319327,391
milb_tmp:manuel_cabrera:2024,2024,MiLB,WSN,Manuel Cabrera,0.265486725,0.420689655,0.3539823,0.4104654673872323,126.89524222464878,0.116438356,0.246575342,0.088495575,0.376623376,146
milb_tmp:maikol_orozco:2024,2024,MiLB,DET,Maikol Orozco,0.301369863,0.44919786,0.410958904,0.4437919204885309,134.49621065270173,0.165775401,0.171122994,0.109589041,0.371681415,187
milb_tmp:jeremy_rodriguez:2024,2024,MiLB,NYM,Jeremy Rodriguez,0.282051282,0.354838709,0.4,0.3674132953041709,110.01000779634052,0.096774193,0.170506912,0.117948718,0.33548387,217
milb_tmp:anibal_salas:2024,2024,MiLB,DET,Anibal Salas,0.195488721,0.33125,0.32330827,0.3321153674274683,89.34454457180375,0.14375,0.3,0.127819549,0.271604938,160
milb_tmp:kevin_ereu:2024,2024,MiLB,MIL,Kevin Ereu,0.25,0.415584415,0.3,0.391411906713015,118.8410887141978,0.181818181,0.162337662,0.05,0.315789473,154
milb_tmp:yeycol_soriano:2024,2024,MiLB,CIN,Yeycol Soriano,0.261111111,0.362790697,0.35,0.3630754763834944,97.0680739429649,0.125581395,0.186046511,0.088888889,0.321678321,215
milb_tmp:cristopfer_gonzalez:2024,2024,MiLB,HOU,Cristopfer Gonzalez,0.173611111,0.285714285,0.270833333,0.2921892163299379,57.97355834243598,0.119047619,0.208333333,0.097222222,0.220183486,168
milb_tmp:rafhlmil_torres:2024,2024,MiLB,CIN,Rafhlmil Torres,0.204081632,0.333333333,0.306122448,0.3330028829249469,80.47279564796295,0.141242937,0.09039548,0.102040816,0.215384615,177
milb_tmp:yeiker_reyes:2024,2024,MiLB,COL,Yeiker Reyes,0.265625,0.392241379,0.328125,0.3688195512212556,98.34429324330462,0.154506437,0.244635193,0.0625,0.377777777,233
milb_tmp:alessander_de_la_cruz:2024,2024,MiLB,COL,Alessander De La Cruz,0.318435754,0.405660377,0.541899441,0.4517360048474006,145.81828181736637,0.117924528,0.188679245,0.223463687,0.367647058,212
milb_tmp:jeremy_ciriaco:2024,2024,MiLB,COL,Jeremy Ciriaco,0.338624338,0.420091324,0.412698412,0.421950243923762,129.38128936317284,0.116071428,0.129464285,0.074074074,0.391304347,224
milb_tmp:anielson_buten:2024,2024,MiLB,CIN,Anielson Buten,0.3006993,0.384146341,0.44055944,0.4087988690632145,122.30009881496468,0.096385542,0.19879518,0.13986014,0.376146788,166
milb_tmp:gustavo_marquez:2024,2024,MiLB,SDP,Gustavo Marquez,0.251851851,0.420454545,0.325925925,0.401202764023434,115.24048433826388,0.185393258,0.230337078,0.074074074,0.351063829,178
milb_tmp:wilian_trinidad:2024,2024,MiLB,TBR,Wilian Trinidad,0.251396648,0.371559633,0.33519553,0.3674780611598163,105.14735737558964,0.150684931,0.223744292,0.083798882,0.338345864,219
milb_tmp:sandro_pereira:2024,2024,MiLB,HOU,Sandro Pereira,0.33076923,0.463855421,0.4,0.4462164069667007,147.23302314208263,0.16766467,0.179640718,0.06923077,0.421568627,167
milb_tmp:carlos_virahonda:2024,2024,MiLB,ARI,Carlos Virahonda,0.15625,0.278947368,0.23125,0.2778755131520723,45.477012106822414,0.078947368,0.157894736,0.075,0.183206106,190
milb_tmp:juan_sierra:2024,2024,MiLB,HOU,Juan Sierra,0.26993865,0.374358974,0.496932515,0.4169181001555059,126.41665739083004,0.112820512,0.205128205,0.226993865,0.299145299,195
milb_tmp:kevin_hacen:2024,2024,MiLB,SDP,Kevin Hacen,0.18852459,0.315436241,0.270491803,0.3122750160678121,66.16654172983638,0.120805369,0.281879194,0.081967213,0.268292682,149
milb_tmp:juan_hernandez:2024,2024,MiLB,DET,Juan Hernandez,0.241830065,0.34090909,0.346405228,0.3409986632210868,94.4759580908288,0.096590909,0.232954545,0.104575163,0.311926605,176
milb_tmp:railin_tea:2024,2024,MiLB,TBR,Railin Tea,0.195652173,0.354285714,0.289855072,0.3472695180347988,94.58132067336008,0.130681818,0.176136363,0.094202899,0.24074074,176
milb_tmp:abraham_nunez:2024,2024,MiLB,CHW,Abraham Nunez,0.292134831,0.381642512,0.370786516,0.3710282758814125,95.55825250690124,0.101449275,0.212560386,0.078651685,0.382352941,207
milb_tmp:yoiber_ocopio:2024,2024,MiLB,SDP,Yoiber Ocopio,0.261194029,0.44198895,0.380597014,0.4312742632396972,131.835158785937,0.182320441,0.193370165,0.119402985,0.346534653,181
milb_tmp:branny_de_oleo:2024,2024,MiLB,NYM,Branny De Oleo,0.208633093,0.283870967,0.302158273,0.2910426297495442,65.89468452122526,0.070967741,0.225806451,0.09352518,0.262135922,155
milb_tmp:fernando_roquez:2024,2024,MiLB,STL,Fernando Roquez,0.148148148,0.354166666,0.305555555,0.3530737310647964,97.92850295651547,0.229166666,0.381944444,0.157407407,0.25490196,144
milb_tmp:vladi_gomez:2024,2024,MiLB,NYM,Vladi Gomez,0.263888888,0.398876404,0.368055555,0.397040111965008,115.69982339925852,0.162921348,0.17977528,0.104166667,0.330357142,178
milb_tmp:jose_mejia:2024,2024,MiLB,BAL,Jose Mejia,0.3,0.410112359,0.413333333,0.4182455733920751,128.59049822271055,0.13483146,0.08988764,0.113333333,0.325757575,178
milb_tmp:alex_acosta:2024,2024,MiLB,NYM,Alex Acosta,0.246478873,0.353293413,0.373239436,0.3681580063825596,98.2430356576941,0.119760479,0.19760479,0.126760563,0.29906542,167
milb_tmp:gabriel_lara:2024,2024,MiLB,NYY,Gabriel Lara,0.201612903,0.321917808,0.25,0.3106949525336697,65.65311764876192,0.123287671,0.130136986,0.048387097,0.23076923,146
milb_tmp:anyelo_marquez:2024,2024,MiLB,LAA,Anyelo Marquez,0.29378531,0.419642857,0.395480225,0.4158531571073191,124.18736677743048,0.170305676,0.135371179,0.101694915,0.335570469,229
milb_tmp:felix_amparo:2024,2024,MiLB,BAL,Felix Amparo,0.312883435,0.383419689,0.503067484,0.4231283294104541,131.41617028575888,0.067010309,0.082474226,0.190184049,0.304054054,194
milb_tmp:yaikel_mijares:2024,2024,MiLB,CLE,Yaikel Mijares,0.229299363,0.357894736,0.337579617,0.3486745175562407,89.73829107128948,0.146596858,0.308900523,0.108280254,0.34375,191
milb_tmp:daniel_campos:2024,2024,MiLB,CHC,Daniel Campos,0.25,0.351351351,0.427419354,0.3812022015855119,111.1234869648152,0.121621621,0.148648648,0.177419354,0.267326732,148
milb_tmp:victor_rodriguez:2024,2024,MiLB,LAA,Victor Rodriguez,0.220689655,0.299401197,0.358620689,0.3089981456118894,63.58877343247324,0.089820359,0.305389221,0.137931034,0.319587628,167
milb_tmp:juan_flores:2024,2024,MiLB,LAA,Juan Flores,0.254010695,0.312348668,0.371657754,0.3195858528313127,89.99759578023895,0.057416267,0.23444976,0.117647059,0.326086956,418
milb_tmp:jose_pirela:2024,2024,MiLB,CLE,Jose Pirela,0.186335403,0.292553191,0.385093167,0.3180485000001623,72.24571499627153,0.090425531,0.324468085,0.198757764,0.242105263,188
milb_tmp:eliesbert_alejos:2024,2024,MiLB,ARI,Eliesbert Alejos,0.30927835,0.377272727,0.386597938,0.3856416241689162,104.94672846366949,0.071428571,0.089285714,0.077319588,0.335227272,224
milb_tmp:albert_gutierrez:2024,2024,MiLB,CHC,Albert Gutierrez,0.236024844,0.287356321,0.378881987,0.310677209804798,67.7563521995514,0.068181818,0.272727272,0.142857143,0.315315315,176
milb_tmp:raimundo_de_los_santos:2024,2024,MiLB,BOS,Raimundo De Los Santos,0.231788079,0.362637362,0.278145695,0.337056991818187,81.5670821047139,0.164835164,0.269230769,0.046357616,0.343137254,182
milb_tmp:javier_herrera:2024,2024,MiLB,LAD,Javier Herrera,0.287671232,0.47,0.486301369,0.4758926796913147,160.81090340141606,0.25,0.15,0.198630137,0.333333333,200
milb_tmp:omar_urbina:2024,2024,MiLB,BAL,Omar Urbina,0.242424242,0.352564102,0.287878787,0.338739901204263,84.71603964611187,0.108974358,0.153846153,0.045454545,0.287037037,156
milb_tmp:roderick_flores:2024,2024,MiLB,MIL,Roderick Flores,0.245283018,0.44137931,0.349056603,0.422633328931085,136.0703373717445,0.227586206,0.227586206,0.103773585,0.342465753,145
milb_tmp:alfredo_rodriguez:2024,2024,MiLB,TBR,Alfredo Rodriguez,0.237762237,0.301886792,0.307692307,0.3103399749072092,73.61624104826386,0.062893081,0.220125786,0.06993007,0.309090909,159
milb_tmp:luiyin_alastre:2024,2024,MiLB,MIL,Luiyin Alastre,0.260416666,0.34090909,0.34375,0.3356867378408258,82.61980377810055,0.104545454,0.118181818,0.083333334,0.287425149,220
milb_tmp:yirer_garcia:2024,2024,MiLB,TBR,Yirer Garcia,0.238709677,0.368421052,0.303225806,0.3481430034888418,95.18477435092456,0.140625,0.130208333,0.064516129,0.27480916,192
milb_tmp:gabriel_terrero:2024,2024,MiLB,NYY,Gabriel Terrero,0.256,0.392405063,0.36,0.3787157958066916,112.05628758557044,0.177215189,0.170886075,0.104,0.303030303,158
milb_tmp:antonio_pimentel:2024,2024,MiLB,PIT,Antonio Pimentel,0.217054263,0.331168831,0.294573643,0.3283240261015954,84.82508312163606,0.129032258,0.141935483,0.07751938,0.256880733,155
milb_tmp:kleiver_chauran:2024,2024,MiLB,TBR,Kleiver Chauran,0.221428571,0.372881355,0.342857142,0.3728926720592261,108.72121760034791,0.175141242,0.242937853,0.121428571,0.306122448,177
milb_tmp:jose_monzon:2024,2024,MiLB,TBR,Jose Monzon,0.252631578,0.368888888,0.331578947,0.3561514586872524,99.81083839588769,0.151111111,0.168888888,0.078947369,0.311258278,225
milb_tmp:jose_tovar:2024,2024,MiLB,TBR,Jose Tovar,0.287769784,0.4,0.374100719,0.3979764342308044,122.56345619865098,0.129411764,0.147058823,0.086330935,0.341880341,170
milb_tmp:alfonzo_martinez:2024,2024,MiLB,TBR,Alfonzo Martinez,0.302158273,0.396341463,0.482014388,0.4286514673291183,138.94819476614373,0.097560975,0.201219512,0.179856115,0.3592233,164
milb_tmp:facundo_velasquez:2024,2024,MiLB,STL,Facundo Velasquez,0.265822784,0.392857142,0.474683544,0.423404003892626,136.73960356046106,0.142857142,0.346938775,0.20886076,0.413793103,196
milb_tmp:elian_soto:2024,2024,MiLB,WSN,Elian Soto,0.175438596,0.349315068,0.228070175,0.3173234119807204,78.3940687081503,0.184931506,0.349315068,0.052631579,0.3125,146
