year,player_mlbam,pitches,zc,zcsw,chase,edge,heart,zone,weak_zone_edge,heart_chase_idx,player_id,pitch_type,edge_weight,heart_weight
2015,112526,174,0.0,0.11251167133520074,0.41448807602653753,0.3091105769230769,0.04354567307692307,0.6430505952380952,0.1987737404847756,0.018049162252934438,112526,ALL,0.3091105769230769,0.04354567307692307
2015,115629,4,,0.0,,0.8333333333333334,0.0,1.0,,,115629,ALL,0.8333333333333334,0.0
2015,116338,1962,0.0,0.1346466901152228,0.16938976821387094,0.211609656073224,0.07356805889818571,0.4405695918741951,0.09322877981281909,0.012461676444708084,116338,ALL,0.211609656073224,0.07356805889818571
2015,120074,2292,0.0,0.08225121943823865,0.10201754122401842,0.18418689763550689,0.046077017300944094,0.3673093525779189,0.06765357012383345,0.004700664011978874,120074,ALL,0.18418689763550689,0.046077017300944094
2015,121347,2335,0.0,0.20342043349169925,0.18918417421487896,0.18986486656806753,0.05224843416529416,0.3770489455083411,0.07158834772857176,0.009884576871581643,121347,ALL,0.18986486656806753,0.05224843416529416
2015,133380,1679,0.0,0.07859632537657377,0.10504568946132412,0.2575671868731652,0.04454970112962966,0.4370652464164752,0.11257366599951828,0.004679754070457877,133380,ALL,0.2575671868731652,0.04454970112962966
2015,134181,2202,0.0,0.03823354811280089,0.13148828910825563,0.13980191081747362,0.08824459065750093,0.4082772173249319,0.057077935125266425,0.011603130248613156,134181,ALL,0.13980191081747362,0.08824459065750093
2015,136860,1938,0.0,0.05123321551537925,0.12786402457611476,0.2518806155099634,0.05334998020833015,0.4367471575828033,0.11000814287418346,0.006821543180493162,136860,ALL,0.2518806155099634,0.05334998020833015
2015,150029,1497,0.0,0.11756495209200521,0.10970632120009134,0.16987780168878394,0.046729457968179636,0.3964883756855138,0.06735457365661178,0.005126516925363283,150029,ALL,0.16987780168878394,0.046729457968179636
2015,150212,1467,0.0,0.102631205152719,0.21316900505725755,0.22192860206421267,0.08389701629202043,0.47512086783746654,0.1054429100107045,0.01788424349024252,150212,ALL,0.22192860206421267,0.08389701629202043
2015,150229,1380,0.0,0.049992436469142906,0.09748340791414348,0.1936736037342883,0.08063351779899183,0.4225985695043124,0.0818461878888553,0.00786043010715147,150229,ALL,0.1936736037342883,0.08063351779899183
2015,150302,42,0.0,0.18047138047138048,0.3333333333333333,0.3018315018315018,0.13736263736263735,0.5296703296703297,0.1598711910799823,0.04578754578754578,150302,ALL,0.3018315018315018,0.13736263736263735
2015,150359,163,0.0,0.14753086419753086,0.19948979591836732,0.2777350002759839,0.17291893627096389,0.6164891654537901,0.17122061853744946,0.03449556330711575,150359,ALL,0.2777350002759839,0.17291893627096389
2015,217100,221,0.0,0.18867609739820693,0.18735479855024445,0.20958043018885658,0.025131669754095375,0.38854863074138885,0.08143218918007146,0.0047085389240098105,217100,ALL,0.20958043018885658,0.025131669754095375
2015,218596,116,0.0,0.061504943857885026,0.21875,0.2588901193552356,0.03286883228743693,0.5960378983634798,0.15430832264756505,0.0071900570628768284,218596,ALL,0.2588901193552356,0.03286883228743693
2015,276519,2005,0.0,0.08624187368873854,0.11214165404636851,0.18427857333251044,0.08653813136102209,0.44739595280831074,0.08244548789825466,0.009704529188906933,276519,ALL,0.18427857333251044,0.08653813136102209
2015,279824,34,,0.0,0.0,0.15131868131868131,0.03428571428571428,0.3832967032967033,,0.0,279824,ALL,0.15131868131868131,0.03428571428571428
2015,282332,8,0.0,0.2,0.5,0.3,0.2,0.7666666666666666,0.22999999999999998,0.1,282332,ALL,0.3,0.2
2015,285064,156,0.0,0.08836601307189541,0.21889619883040934,0.2682718191769916,0.1170001119570085,0.5212374981340498,0.13983333184768532,0.025610879770121487,285064,ALL,0.2682718191769916,0.1170001119570085
2015,285078,718,0.0,0.18895388983769162,0.29800575085519215,0.19953757763556837,0.048420076472967775,0.37171602874254395,0.07417131594360053,0.014429461245792585,285078,ALL,0.19953757763556837,0.048420076472967775
2015,285079,8,,0.0,0.0,0.0,0.25,0.4375,,0.0,285079,ALL,0.0,0.25
2015,329092,6,,0.0,0.0,0.0,0.0,0.3333333333333333,,0.0,329092,ALL,0.0,0.0
2015,346793,9,0.0,0.16666666666666666,0.25,0.3,0.06666666666666667,0.4333333333333333,0.12999999999999998,0.016666666666666666,346793,ALL,0.3,0.06666666666666667
2015,346798,139,0.0,0.10158730158730157,0.13397435897435897,0.30596405228758167,0.15518790849673203,0.5941176470588235,0.18177864282968087,0.02079120056142115,346798,ALL,0.30596405228758167,0.15518790849673203
2015,346874,1444,0.0,0.09791771525157408,0.1361466109774075,0.20766349757640526,0.07157665296754369,0.41362425086576354,0.08589465861720492,0.00974491872663707,346874,ALL,0.20766349757640526,0.07157665296754369
2015,400085,1516,0.0,0.07691662566661955,0.05772318433531217,0.1696804463991774,0.03952731769513662,0.33131950637489066,0.05621844174244655,0.0022816426455968177,400085,ALL,0.1696804463991774,0.03952731769513662
2015,400121,1795,0.0,0.08946541830779478,0.07794499841230543,0.20706935151459882,0.07333811095325761,0.4102380706704534,0.08494773126033095,0.005716338941813144,400121,ALL,0.20706935151459882,0.07333811095325761
2015,400284,1484,0.0,0.03579825952171557,0.15506852478317323,0.17731574494594052,0.04342913827314923,0.35137392672576767,0.06230412957195981,0.006734492404621699,400284,ALL,0.17731574494594052,0.04342913827314923
2015,405395,2329,0.0,0.03378665148110677,0.13224407336975805,0.2138267909609037,0.03774087813183504,0.38661261812091313,0.08266813547778819,0.00499100745670549,405395,ALL,0.2138267909609037,0.03774087813183504
