from,to,km,fatigue_idx
ARI,ARI,0.0,0.0
ARI,ATL,2546.8660901040143,1.6979107267360096
ARI,BAL,3218.082060874103,2.145388040582735
ARI,BOS,3690.0713015134615,2.4600475343423076
ARI,CHA,2334.1616541657545,1.5561077694438363
ARI,CHN,2336.0164345882977,1.5573442897255318
ARI,CIN,2538.5960487433026,1.6923973658288685
ARI,CLE,2809.6695102741587,1.873113006849439
ARI,COL,943.2467455921342,0.6288311637280894
ARI,DET,2715.1990179844133,1.8101326786562755
ARI,HOU,1632.8560034036777,1.0885706689357852
ARI,KCR,1692.2215040136275,1.1281476693424184
ARI,LAA,539.8856178904268,0.35992374526028453
ARI,LAD,574.8596147750492,0.3832397431833661
ARI,MIA,3180.5275500591442,2.1203517000394294
ARI,MIL,2347.197985968671,1.5647986573124475
ARI,MIN,2056.641183887732,1.3710941225918214
ARI,NYA,3450.223448565969,2.300148965710646
ARI,NYN,3456.8140388980814,2.304542692598721
ARI,OAK,1032.9646402300823,0.6886430934867215
ARI,PHI,3343.406369049581,2.2289375793663875
ARI,PIT,2935.767875787033,1.957178583858022
ARI,SDP,481.3141142559965,0.3208760761706643
ARI,SEA,1792.7899396355717,1.1951932930903812
ARI,SFG,1049.318847932985,0.6995458986219899
ARI,SLN,2043.7362499483531,1.362490833298902
ARI,TBA,2874.5904939067345,1.9163936626044897
ARI,TEX,1396.626866413038,0.931084577608692
ARI,TOR,3035.3711679622716,2.0235807786415143
ARI,WSN,3184.628782759017,2.123085855172678
ATL,ARI,2546.8660901040143,1.6979107267360096
ATL,ATL,0.0,0.0
ATL,BAL,921.4834768260977,0.6143223178840651
ATL,BOS,1497.5822988341695,0.9983881992227797
ATL,CHA,925.3530886277954,0.6169020590851969
ATL,CHN,938.3941149775167,0.6255960766516778
ATL,CIN,578.9247866172401,0.3859498577448267
ATL,CLE,880.2761865320981,0.5868507910213987
ATL,COL,1934.6247681274665,1.289749845418311
ATL,DET,947.5353275983832,0.6316902183989221
ATL,HOU,1125.8600543381294,0.750573369558753
ATL,KCR,1062.4239031612221,0.7082826021074814
ATL,LAA,3072.089359517256,2.048059573011504
ATL,LAD,3099.5978100656416,2.0663985400437612
ATL,MIA,990.4211770966687,0.6602807847311124
ATL,MIL,1060.5539502602846,0.7070359668401898
ATL,MIN,1444.8119576267202,0.9632079717511468
ATL,NYA,1208.1062290135653,0.8054041526757102
ATL,NYN,1208.834023998545,0.8058893493323633
ATL,OAK,3405.9381121755364,2.270625408117024
ATL,PHI,1062.6324294285942,0.7084216196190628
ATL,PIT,829.0250834084064,0.5526833889389376
ATL,SDP,3028.169175557115,2.0187794503714103
ATL,SEA,3489.9419933633585,2.3266279955755724
ATL,SFG,3422.2541807913854,2.281502787194257
ATL,SLN,734.7775075527918,0.4898516717018612
ATL,TBA,702.4649383701939,0.46830995891346255
ATL,TEX,1178.4080881976906,0.7856053921317937
ATL,TOR,1169.6061861299809,0.7797374574199872
ATL,WSN,867.1738259839609,0.5781158839893072
BAL,ARI,3218.082060874103,2.145388040582735
BAL,ATL,921.4834768260977,0.6143223178840651
BAL,BAL,0.0,0.0
BAL,BOS,576.1002288175822,0.3840668192117215
BAL,CHA,971.6390451088363,0.6477593634058909
BAL,CHN,976.4632021426456,0.6509754680950971
BAL,CIN,679.6703699408022,0.4531135799605348
BAL,CLE,494.2593215388702,0.3295062143592468
BAL,COL,2424.026817790914,1.6160178785272759
BAL,DET,638.4320967661524,0.42562139784410163
BAL,HOU,2010.7193434720025,1.3404795623146684
BAL,KCR,1537.2943183864984,1.0248628789243324
BAL,LAA,3703.7256311415517,2.4691504207610344
BAL,LAD,3723.2726676392185,2.4821817784261455
BAL,MIA,1538.8087966588855,1.0258725311059236
BAL,MIL,1036.2681798530193,0.6908454532353462
BAL,MIN,1508.789067382376,1.0058593782549174
BAL,NYA,286.6300004062883,0.19108666693752552
BAL,NYN,287.5696354826561,0.19171309032177075
BAL,OAK,3926.7011663618723,2.6178007775745815
BAL,PHI,142.57090750151005,0.09504727166767336
BAL,PIT,316.41784290650565,0.2109452286043371
BAL,SDP,3687.633581279251,2.4584223875195006
BAL,SEA,3746.66412282436,2.4977760818829067
BAL,SFG,3941.6939842847214,2.6277959895231477
BAL,SLN,1174.7136390170558,0.7831424260113705
BAL,TBA,1396.3460677790692,0.9308973785193795
BAL,TEX,1973.1608638619582,1.3154405759079721
BAL,TOR,536.5349867634761,0.35768999117565076
BAL,WSN,56.5331255072144,0.03768875033814293
BOS,ARI,3690.0713015134615,2.4600475343423076
BOS,ATL,1497.5822988341695,0.9983881992227797
BOS,BAL,576.1002288175822,0.3840668192117215
BOS,BOS,0.0,0.0
BOS,CHA,1363.650393045228,0.9091002620301519
BOS,CHN,1363.6457492218942,0.9090971661479295
BOS,CIN,1184.9364142904653,0.7899576095269769
BOS,CLE,880.515870226316,0.5870105801508774
BOS,COL,2838.0733902392935,1.8920489268261957
BOS,DET,981.4350557355074,0.654290037157005
BOS,HOU,2577.0181214925615,1.718012080995041
BOS,KCR,1998.3677820980402,1.33224518806536
BOS,LAA,4149.715958899194,2.7664773059327965
BOS,LAD,4165.148614540588,2.7767657430270587
BOS,MIA,2021.9551839652916,1.3479701226435277
BOS,MIL,1378.956317257733,0.9193042115051553
BOS,MIN,1802.1939537742298,1.2014626358494866
BOS,NYA,289.4782987052242,0.19298553247014946
BOS,NYN,289.03232871402105,0.1926882191426807
BOS,OAK,4314.22496917631,2.876149979450873
BOS,PHI,435.6212134899765,0.290414142326651
