year,lgID,G,R,HR,BB,SO,R_per_G,HR_per_G,BB_per_G,SO_per_G,season,run_env
1969,AL,1946,7960,1649,7032,10845.0,4.090441932168551,0.8473792394655704,3.6135662898252825,5.572970195272354,1969,4.090441932168551
1969,NL,1946,7890,1470,6397,11628.0,4.054470709146968,0.7553956834532374,3.287255909558068,5.9753340184994865,1969,4.054470709146968
1970,AL,1946,8109,1746,6808,10957.0,4.167009249743063,0.8972250770811921,3.498458376156218,5.630524152106886,1970,4.167009249743063
1970,NL,1942,8771,1683,6919,11417.0,4.516477857878476,0.8666323377960865,3.562821833161689,5.878990731204944,1970,4.516477857878476
1971,AL,1932,7472,1484,6477,10414.0,3.867494824016563,0.7681159420289855,3.3524844720496896,5.390269151138717,1971,3.867494824016563
1971,NL,1944,7601,1379,6059,10542.0,3.9099794238683128,0.7093621399176955,3.1167695473251027,5.422839506172839,1971,3.9099794238683128
1972,AL,1858,6441,1175,5742,10174.0,3.4666307857911733,0.6324004305705059,3.0904198062432724,5.475780409041981,1972,3.4666307857911733
1972,NL,1860,7265,1359,5985,10544.0,3.9059139784946235,0.7306451612903225,3.217741935483871,5.668817204301075,1972,3.9059139784946235
1973,AL,1944,8314,1552,6647,9851.0,4.276748971193416,0.7983539094650206,3.419238683127572,5.06738683127572,1973,4.276748971193416
1973,NL,1942,8062,1550,6453,10507.0,4.151390319258496,0.7981462409886715,3.322863027806385,5.410401647785788,1973,4.151390319258496
1974,AL,1946,7976,1369,6135,9524.0,4.098663926002056,0.7034943473792394,3.1526207605344294,4.894141829393628,1974,4.098663926002056
1974,NL,1944,8070,1280,6828,9971.0,4.151234567901234,0.6584362139917695,3.5123456790123457,5.129115226337449,1974,4.151234567901234
1975,AL,1926,8281,1465,6672,9487.0,4.299584631360332,0.7606438213914849,3.4641744548286604,4.925752855659398,1975,4.299584631360332
1975,NL,1942,8014,1233,6730,9793.0,4.126673532440782,0.6349124613800206,3.465499485066941,5.042739443872296,1975,4.126673532440782
1976,AL,1934,7753,1122,6128,9143.0,4.008790072388831,0.5801447776628749,3.168562564632885,4.727507755946226,1976,4.008790072388831
1976,NL,1944,7739,1113,6263,9602.0,3.9809670781893005,0.5725308641975309,3.221707818930041,4.939300411522634,1976,3.9809670781893005
1977,AL,2262,10247,2013,7270,11234.0,4.530061892130858,0.889920424403183,3.2139699381078692,4.966401414677277,1977,4.530061892130858
1977,NL,1944,8556,1631,6487,10488.0,4.401234567901234,0.8389917695473251,3.336934156378601,5.395061728395062,1977,4.401234567901234
1978,AL,2262,9509,1680,7287,10153.0,4.203801945181255,0.7427055702917772,3.2214854111405837,4.488505747126437,1978,4.203801945181255
1978,NL,1942,7742,1276,6279,9905.0,3.9866117404737382,0.6570545829042225,3.233264675592173,5.100411946446962,1978,3.9866117404737382
1979,AL,2254,10527,2006,7413,10115.0,4.67036379769299,0.8899733806566105,3.2888198757763973,4.487577639751553,1979,4.67036379769299
1979,NL,1942,8186,1427,6188,9920.0,4.21524201853759,0.7348094747682801,3.1864057672502573,5.108135942327498,1979,4.21524201853759
1980,AL,2264,10201,1844,7221,10363.0,4.505742049469965,0.8144876325088339,3.189487632508834,4.5772968197879855,1980,4.505742049469965
1980,NL,1946,7852,1243,5969,9849.0,4.034943473792395,0.6387461459403906,3.067317574511819,5.061151079136691,1980,4.034943473792395
1981,AL,1500,6112,1062,4761,6905.0,4.074666666666666,0.708,3.174,4.6033333333333335,1981,4.074666666666666
1981,NL,1288,5035,719,4107,6332.0,3.9091614906832297,0.5582298136645962,3.188664596273292,4.916149068322981,1981,3.9091614906832297
1982,AL,2270,10163,2080,7338,10921.0,4.477092511013216,0.9162995594713657,3.232599118942731,4.811013215859031,1982,4.477092511013216
1982,NL,1944,7947,1299,5964,10300.0,4.087962962962963,0.6682098765432098,3.067901234567901,5.29835390946502,1982,4.087962962962963
1983,AL,2270,10177,1903,7094,10967.0,4.483259911894273,0.8383259911894273,3.12511013215859,4.831277533039648,1983,4.483259911894273
1983,NL,1948,7993,1398,6424,10749.0,4.103182751540041,0.7176591375770021,3.297741273100616,5.517967145790554,1983,4.103182751540041
