player_id,player_name,team,pos
607755,"Vasquez, Andrew",,
608032,"Estévez, Carlos",,
608328,"De Jong, Chase",,
608331,"Fried, Max",,
608337,"Giolito, Lucas",,
608344,"Irvin, Cole",,
608379,"Wacha, Michael",,
608566,"Márquez, Germán",,
608638,"Chargois, JT",,
608648,"Duffey, Tyler",,
608665,"Graveman, Kendall",,
608678,"Leone, Dominic",,
608716,"Steckenrider, Drew",,
608717,"Stratton, Chris",,
608718,"Suter, Brent",,
608723,"Voth, Austin",,
612434,"Castro, Miguel",,
614179,"Ruiz, José",,
615698,"Quantrill, Cal",,
621016,"Cuas, Jose",,
621051,"Wilson, Steven",,
621053,"Ferguson, Tyler",,
621074,"Rucker, Michael",,
621076,"Kaprielian, James",,
621098,"Hanhold, Eric",,
621107,"Eflin, Zach",,
621139,"Kriske, Brooks",,
621142,"Buttrey, Ty",,
621199,"Bowman, Matt",,
621237,"Alvarado, José",,
621244,"Berríos, José",,
621249,"Underwood Jr., Duane",,
621294,"Heller, Ben",,
621295,"Wittgren, Nick",,
621345,"Minter, A.J.",,
621348,"Clay, Sam",,
621363,"Poche, Colin",,
621366,"Borucki, Ryan",,
621368,"Hearn, Taylor",,
621381,"Strahm, Matt",,
621383,"Banks, Tanner",,
621389,"Blach, Ty",,
622065,"Young, Alex",,
622072,"Wood, Alex",,
622075,"Almonte, Yency",,
622098,"Smith, Drew",,
622103,"Reyes, Gerardo",,
622250,"Sborz, Josh",,
622251,"Staumont, Josh",,
622259,"Wingenter, Trey",,
622338,"Liranzo, Jesús",,
622491,"Castillo, Luis",,
622503,"Crismatt, Nabil",,
622554,"Domínguez, Seranthony",,
622663,"Severino, Luis",,
622694,"Hernández, Elieser",,
622766,"Díaz, Miguel",,
622772,"Cordero, Jimmy",,
622780,"Perdomo, Angel",,
623149,"Sewald, Paul",,
623167,"Flexen, Chris",,
623211,"Brazobán, Huascar",,
623352,"Hader, Josh",,
623354,"Zamora, Daniel",,
623433,"Anderson, Nick",,
623437,"Topa, Justin",,
623451,"Stephens, Jackson",,
623465,"Phillips, Evan",,
623474,"Herget, Jimmy",,
624522,"Thompson, Keegan",,
624526,"Williams, Garrett",,
624647,"González, Victor",,
625643,"López, Reynaldo",,
628317,"Maeda, Kenta",,
628708,"Marte, Yunior",,
628711,"Urías, Julio",,
629498,"Quezada, Johan",,
630023,"Chirinos, Yonny",,
640444,"Crowe, Wil",,
640448,"Finnegan, Kyle",,
640451,"Harvey, Hunter",,
640454,"Krook, Matt",,
640455,"Manaea, Sean",,
640462,"Puk, A.J.",,
640470,"Alzolay, Adbert",,
641154,"López, Pablo",,
641302,"Alexander, Tyler",,
641329,"Baker, Bryan",,
641360,"Bickford, Phil",,
641386,"Bowden, Ben",,
641401,"Brogdon, Connor",,
641409,"Brown, Zack",,
641427,"Busenitz, Alan",,
641447,"Castano, Daniel",,
641464,"Cobb, Trey",,
641482,"Cortes, Nestor",,
