year,teamID,salary,threshold,over_amount,cbt_tax,cbt_flag
1989,SFN,14962834,,0.0,0.0,0
1989,SLN,16078833,,0.0,0.0,0
1989,TEX,11893781,,0.0,0.0,0
1989,TOR,16261666,,0.0,0.0,0
1990,ATL,14555501,,0.0,0.0,0
1990,BAL,9680084,,0.0,0.0,0
1990,BOS,20558333,,0.0,0.0,0
1990,CAL,21720000,,0.0,0.0,0
1990,CHA,9491500,,0.0,0.0,0
1990,CHN,13624000,,0.0,0.0,0
1990,CIN,14370000,,0.0,0.0,0
1990,CLE,14487000,,0.0,0.0,0
1990,DET,17593238,,0.0,0.0,0
1990,HOU,18330000,,0.0,0.0,0
1990,KCA,23361084,,0.0,0.0,0
1990,LAN,21318704,,0.0,0.0,0
1990,MIN,14602000,,0.0,0.0,0
1990,ML4,19719167,,0.0,0.0,0
1990,MON,16586388,,0.0,0.0,0
1990,NYA,20912318,,0.0,0.0,0
1990,NYN,21722834,,0.0,0.0,0
1990,OAK,19887501,,0.0,0.0,0
1990,PHI,13173667,,0.0,0.0,0
1990,PIT,15556000,,0.0,0.0,0
1990,SDN,17588334,,0.0,0.0,0
1990,SEA,12553667,,0.0,0.0,0
1990,SFN,19335333,,0.0,0.0,0
1990,SLN,20523334,,0.0,0.0,0
1990,TEX,14874372,,0.0,0.0,0
1990,TOR,17756834,,0.0,0.0,0
1991,ATL,18403500,,0.0,0.0,0
1991,BAL,17519000,,0.0,0.0,0
1991,BOS,35167500,,0.0,0.0,0
1991,CAL,33060001,,0.0,0.0,0
1991,CHA,16919667,,0.0,0.0,0
1991,CHN,23175667,,0.0,0.0,0
1991,CIN,26305333,,0.0,0.0,0
1991,CLE,17635000,,0.0,0.0,0
1991,DET,23838333,,0.0,0.0,0
1991,HOU,12852500,,0.0,0.0,0
1991,KCA,26319834,,0.0,0.0,0
1991,LAN,32790664,,0.0,0.0,0
1991,MIN,23361833,,0.0,0.0,0
1991,ML4,23115500,,0.0,0.0,0
1991,MON,10732333,,0.0,0.0,0
1991,NYA,27344168,,0.0,0.0,0
1991,NYN,32590001,,0.0,0.0,0
1991,OAK,36999167,,0.0,0.0,0
1991,PHI,22487332,,0.0,0.0,0
1991,PIT,23634667,,0.0,0.0,0
1991,SDN,22150001,,0.0,0.0,0
1991,SEA,15691833,,0.0,0.0,0
1991,SFN,30967666,,0.0,0.0,0
1991,SLN,21860001,,0.0,0.0,0
1991,TEX,18224500,,0.0,0.0,0
1991,TOR,19902417,,0.0,0.0,0
1992,ATL,34625333,,0.0,0.0,0
1992,BAL,23780667,,0.0,0.0,0
1992,BOS,43610584,,0.0,0.0,0
1992,CAL,34749334,,0.0,0.0,0
1992,CHA,30160833,,0.0,0.0,0
1992,CHN,29829686,,0.0,0.0,0
1992,CIN,35931499,,0.0,0.0,0
1992,CLE,9373044,,0.0,0.0,0
1992,DET,27322834,,0.0,0.0,0
1992,HOU,15407500,,0.0,0.0,0
1992,KCA,33893834,,0.0,0.0,0
1992,LAN,44788166,,0.0,0.0,0
1992,MIN,28027834,,0.0,0.0,0
1992,ML4,31013667,,0.0,0.0,0
1992,MON,15822334,,0.0,0.0,0
1992,NYA,37543334,,0.0,0.0,0
1992,NYN,44602002,,0.0,0.0,0
1992,OAK,41035000,,0.0,0.0,0
1992,PHI,24383834,,0.0,0.0,0
1992,PIT,33944167,,0.0,0.0,0
1992,SDN,26854167,,0.0,0.0,0
1992,SEA,23179833,,0.0,0.0,0
1992,SFN,33163168,,0.0,0.0,0
1992,SLN,27583836,,0.0,0.0,0
1992,TEX,30128167,,0.0,0.0,0
1992,TOR,44788666,,0.0,0.0,0
1993,ATL,41641417,,0.0,0.0,0
1993,BAL,29096500,,0.0,0.0,0
1993,BOS,37120583,,0.0,0.0,0
1993,CAL,28588334,,0.0,0.0,0
1993,CHA,39696166,,0.0,0.0,0
1993,CHN,39386666,,0.0,0.0,0
1993,CIN,44879666,,0.0,0.0,0
1993,CLE,18561000,,0.0,0.0,0
1993,COL,10353500,,0.0,0.0,0
1993,DET,38150165,,0.0,0.0,0
1993,FLO,19330545,,0.0,0.0,0
1993,HOU,30210500,,0.0,0.0,0
1993,KCA,41346167,,0.0,0.0,0
1993,LAN,39331999,,0.0,0.0,0
1993,MIN,28217933,,0.0,0.0,0
1993,ML4,23806834,,0.0,0.0,0
1993,MON,18899333,,0.0,0.0,0
1993,NYA,42624900,,0.0,0.0,0
1993,NYN,39043667,,0.0,0.0,0
1993,OAK,37812333,,0.0,0.0,0
1993,PHI,28538334,,0.0,0.0,0
1993,PIT,24822467,,0.0,0.0,0
1993,SDN,25511333,,0.0,0.0,0
1993,SEA,32696333,,0.0,0.0,0
1993,SFN,35050000,,0.0,0.0,0
1993,SLN,23367334,,0.0,0.0,0
1993,TEX,36376959,,0.0,0.0,0
1993,TOR,47279166,,0.0,0.0,0
1994,ATL,49383513,,0.0,0.0,0
1994,BAL,38849769,,0.0,0.0,0
1994,BOS,37859084,,0.0,0.0,0
1994,CAL,25156218,,0.0,0.0,0
1994,CHA,39183836,,0.0,0.0,0
1994,CHN,36287333,,0.0,0.0,0
1994,CIN,40961833,,0.0,0.0,0
1994,CLE,30490500,,0.0,0.0,0
1994,COL,23887333,,0.0,0.0,0
1994,DET,41446501,,0.0,0.0,0
1994,FLO,21633000,,0.0,0.0,0
1994,HOU,33126000,,0.0,0.0,0
1994,KCA,40541334,,0.0,0.0,0
1994,LAN,38000001,,0.0,0.0,0
1994,MIN,28438500,,0.0,0.0,0
1994,ML4,24350500,,0.0,0.0,0
1994,MON,19098000,,0.0,0.0,0
1994,NYA,45731334,,0.0,0.0,0
1994,NYN,30956583,,0.0,0.0,0
1994,OAK,34172500,,0.0,0.0,0
1994,PHI,31599000,,0.0,0.0,0
1994,PIT,24217250,,0.0,0.0,0
1994,SDN,14916333,,0.0,0.0,0
1994,SEA,29228500,,0.0,0.0,0
1994,SFN,42638666,,0.0,0.0,0
1994,SLN,29275601,,0.0,0.0,0
1994,TEX,32973597,,0.0,0.0,0
1994,TOR,43433668,,0.0,0.0,0
1995,ATL,47235445,,0.0,0.0,0
1995,BAL,43942521,,0.0,0.0,0
1995,BOS,32455518,,0.0,0.0,0
1995,CAL,31223171,,0.0,0.0,0
1995,CHA,46961282,,0.0,0.0,0
1995,CHN,29505834,,0.0,0.0,0
1995,CIN,43144670,,0.0,0.0,0
1995,CLE,37937835,,0.0,0.0,0
1995,COL,34154717,,0.0,0.0,0
1995,DET,37044168,,0.0,0.0,0
1995,FLO,24515781,,0.0,0.0,0
1995,HOU,34169834,,0.0,0.0,0
1995,KCA,29532834,,0.0,0.0,0
1995,LAN,39273201,,0.0,0.0,0
1995,MIN,25410500,,0.0,0.0,0
1995,ML4,17798825,,0.0,0.0,0
1995,MON,12364000,,0.0,0.0,0
1995,NYA,48874851,,0.0,0.0,0
1995,NYN,27674992,,0.0,0.0,0
1995,OAK,37739225,,0.0,0.0,0
1995,PHI,30555945,,0.0,0.0,0
1995,PIT,18355345,,0.0,0.0,0
1995,SDN,26382334,,0.0,0.0,0
1995,SEA,36481311,,0.0,0.0,0
1995,SFN,36462777,,0.0,0.0,0
1995,SLN,37101000,,0.0,0.0,0
1995,TEX,34581451,,0.0,0.0,0
1995,TOR,50590000,,0.0,0.0,0
1996,ATL,49698500,,0.0,0.0,0
1996,BAL,54490315,,0.0,0.0,0
1996,BOS,42393500,,0.0,0.0,0
1996,CAL,28738000,,0.0,0.0,0
1996,CHA,45139500,,0.0,0.0,0
1996,CHN,33081000,,0.0,0.0,0
1996,CIN,42526334,,0.0,0.0,0
1996,CLE,48107360,,0.0,0.0,0
1996,COL,40179823,,0.0,0.0,0
1996,DET,23438000,,0.0,0.0,0
1996,FLO,31022500,,0.0,0.0,0
1996,HOU,28487000,,0.0,0.0,0
1996,KCA,20281250,,0.0,0.0,0
1996,LAN,35355000,,0.0,0.0,0
1996,MIN,23117000,,0.0,0.0,0
1996,ML4,21730000,,0.0,0.0,0
1996,MON,16264500,,0.0,0.0,0
1996,NYA,54191792,,0.0,0.0,0
1996,NYN,24479500,,0.0,0.0,0
1996,OAK,21243000,,0.0,0.0,0
1996,PHI,34314500,,0.0,0.0,0
1996,PIT,23017500,,0.0,0.0,0
1996,SDN,28348172,,0.0,0.0,0
1996,SEA,41328501,,0.0,0.0,0
1996,SFN,37144725,,0.0,0.0,0
1996,SLN,40269667,,0.0,0.0,0
1996,TEX,39041528,,0.0,0.0,0
1996,TOR,29555083,,0.0,0.0,0
1997,ANA,31135472,,0.0,0.0,0
1997,ATL,52278500,,0.0,0.0,0
1997,BAL,58516400,,0.0,0.0,0
1997,BOS,43558750,,0.0,0.0,0
1997,CHA,57740000,,0.0,0.0,0
1997,CHN,42155333,,0.0,0.0,0
1997,CIN,49768000,,0.0,0.0,0
1997,CLE,56802460,,0.0,0.0,0
1997,COL,43559667,,0.0,0.0,0
1997,DET,17272000,,0.0,0.0,0
1997,FLO,48692500,,0.0,0.0,0
1997,HOU,34777500,,0.0,0.0,0
1997,KCA,34655000,,0.0,0.0,0
1997,LAN,45380304,,0.0,0.0,0
