year,pitcher,pitch_type,Pitches,whiffs,swings,cs,velo,spin,ext,pfx_x,pfx_z,whiff_rate,csw_rate,h_mov_in,v_mov_in
2015,112526,CH,13,0,6,1,81.26153846153846,1598.076923076923,5.3538461538461535,-1.1400000000000001,0.7030769230769232,0.0,0.07692307692307693,-13.680000000000001,8.436923076923078
2015,112526,FF,139,20,74,23,90.69856115107913,2268.942028985507,5.285507246376811,-0.5394964028776978,1.370863309352518,0.2702702702702703,0.30935251798561153,-6.473956834532374,16.450359712230217
2015,112526,SI,197,7,91,49,87.77106598984773,2145.546391752577,5.323711340206185,-1.3045177664974619,0.6998984771573604,0.07692307692307693,0.28426395939086296,-15.654213197969543,8.398781725888325
2015,112526,SL,43,3,22,8,83.13255813953488,2307.230769230769,4.978048780487804,0.2327906976744186,0.34511627906976744,0.13636363636363635,0.2558139534883721,2.793488372093023,4.141395348837209
2015,115629,CH,10,0,2,3,83.2,1709.888888888889,6.088888888888889,-0.933,0.766,0.0,0.3,-11.196000000000002,9.192
2015,115629,FF,85,9,44,18,92.9835294117647,1996.5657894736842,6.242307692307692,-0.9972941176470588,1.0203529411764707,0.20454545454545456,0.3176470588235294,-11.967529411764705,12.244235294117647
2015,115629,SI,2,0,1,0,92.1,1994.0,6.0,-1.31,0.535,0.0,0.0,-15.72,6.42
2015,115629,SL,8,1,4,1,87.275,1965.375,6.1,0.27125,0.6799999999999999,0.25,0.25,3.255,8.16
2015,150274,SI,1,0,1,0,92.4,2260.0,5.8,-1.37,0.8,0.0,0.0,-16.44,9.600000000000001
2015,150274,SL,3,2,2,0,86.7,2454.0,5.466666666666666,0.33666666666666667,0.2833333333333333,1.0,0.6666666666666666,4.04,3.4
2015,150302,CH,72,22,41,2,78.55277777777778,1152.056338028169,6.063888888888889,-0.8611111111111112,0.25722222222222224,0.5365853658536586,0.3333333333333333,-10.333333333333334,3.086666666666667
2015,150302,IN,3,0,0,0,80.53333333333335,1773.0,5.65,-1.2133333333333334,0.8366666666666666,,0.0,-14.56,10.04
2015,150302,SI,191,5,71,49,88.16230366492147,1788.4728260869565,6.291978609625668,-1.455759162303665,0.5272774869109947,0.07042253521126761,0.28272251308900526,-17.46910994764398,6.3273298429319365
2015,150302,SL,67,10,34,12,82.05223880597015,1938.703125,6.197014925373134,0.21149253731343284,0.47791044776119407,0.29411764705882354,0.3283582089552239,2.537910447761194,5.734925373134329
2015,150359,CH,19,1,9,1,85.86315789473684,1659.0526315789473,6.2,-0.958421052631579,0.2005263157894737,0.1111111111111111,0.10526315789473684,-11.501052631578947,2.4063157894736844
2015,150359,FF,72,4,29,11,91.29444444444444,2096.695652173913,6.529166666666667,-0.5033333333333334,1.0538888888888889,0.13793103448275862,0.20833333333333334,-6.040000000000001,12.646666666666667
2015,150359,IN,2,0,0,0,74.5,1883.0,5.15,-0.7050000000000001,1.13,,0.0,-8.46,13.559999999999999
2015,150359,KC,129,23,67,12,82.05038759689923,1998.7983870967741,5.89921875,0.7202325581395349,-0.750077519379845,0.34328358208955223,0.2713178294573643,8.64279069767442,-9.00093023255814
2015,150359,PO,1,0,0,0,84.1,1922.0,5.9,-0.3,1.01,,0.0,-3.5999999999999996,12.120000000000001
2015,150359,SI,195,2,83,48,91.10461538461539,1997.100529100529,6.552604166666666,-1.0662564102564103,0.6457948717948718,0.024096385542168676,0.2564102564102564,-12.795076923076923,7.749538461538462
2015,218596,CU,32,2,11,5,75.63125,2179.296296296296,5.228571428571429,1.115625,-0.638125,0.18181818181818182,0.21875,13.387500000000001,-7.657500000000001
2015,218596,FC,75,18,43,12,82.92666666666666,2148.7272727272725,5.4537313432835814,0.32506666666666667,0.0928,0.4186046511627907,0.4,3.9008000000000003,1.1136
2015,218596,FF,13,0,2,3,88.6923076923077,2081.9166666666665,5.733333333333333,-0.6869230769230769,0.9153846153846155,0.0,0.23076923076923078,-8.243076923076922,10.984615384615385
2015,218596,FS,44,7,26,5,80.94772727272726,1569.9444444444443,5.667567567567567,-0.6643181818181818,0.07454545454545455,0.2692307692307692,0.2727272727272727,-7.971818181818182,0.8945454545454546
2015,218596,SI,156,5,73,31,88.3775641025641,2027.0,5.629365079365079,-1.1675641025641024,0.4184615384615385,0.0684931506849315,0.23076923076923078,-14.010769230769228,5.021538461538462
2015,234194,CH,4,0,1,1,84.875,1526.5,5.6,-0.91,0.3875,0.0,0.25,-10.92,4.65
2015,234194,FF,62,6,29,14,90.81451612903226,2299.435483870968,6.098387096774194,-0.6175806451612903,1.2675806451612903,0.20689655172413793,0.3225806451612903,-7.410967741935483,15.210967741935484
2015,234194,SI,19,0,8,4,90.08421052631579,2161.2631578947367,5.921052631578948,-1.2452631578947368,0.8447368421052632,0.0,0.21052631578947367,-14.943157894736842,10.13684210526316
2015,234194,SL,14,1,11,2,86.28571428571429,1986.1538461538462,5.814285714285715,0.08857142857142856,0.5757142857142857,0.09090909090909091,0.21428571428571427,1.0628571428571427,6.908571428571429
2015,276351,FF,110,20,64,15,94.84727272727274,2376.5412844036696,6.135454545454545,-0.9971818181818182,1.2233636363636362,0.3125,0.3181818181818182,-11.966181818181818,14.680363636363634
2015,276351,SI,4,1,2,0,94.975,1999.5,6.45,-1.2225,0.71,0.5,0.25,-14.669999999999998,8.52
2015,276351,SL,39,5,18,12,83.3923076923077,1907.4285714285713,5.478947368421053,0.9143589743589743,-0.24743589743589745,0.2777777777777778,0.4358974358974359,10.972307692307691,-2.9692307692307693
