batting_order,name,pos,bats,score
1,Ketel Marte,2B,S,126.0
2,Christian Walker,1B,R,132.0
3,Corbin Carroll,OF,L,123.0
4,Joc Pederson,DH,L,115.0
5,Lourdes Gurriel Jr.,LF,R,113.0
6,Jake McCarthy,OF,L,108.0
7,Gabriel Moreno,C,R,106.0
8,Eugenio Suarez,3B,R,104.0
9,Jordan Lawlar,SS,R,101.0
