year,role,mlbam,player_name,pitch_type,pitches,usage_rate,zone_rate,whiff_rate,z_whiff_rate,o_whiff_rate,chase_rate,csw_rate,avg_spin,avg_ext,h_mov_in,v_mov_in,segment,edge_rate,heart_rate
2015,pit,112526,,CH,13,0.0026987751712684,0.3076923076923077,0.0,0.0,0.0,0.4444444444444444,0.0769230769230769,1598.076923076923,5.353846153846154,-13.679999999999998,8.436923076923076,,,
2015,pit,112526,,CH,1,0.0002075980900975,1.0,0.0,0.0,0.0,0.0,0.0,1705.0,5.6,-12.36,8.879999999999999,two_strike,,
2015,pit,112526,,CH,4,0.0008303923603902,0.5,0.0,0.0,0.0,1.0,0.0,1688.75,5.3,-13.11,8.64,ahead,,
2015,pit,112526,,CH,2,0.0004151961801951,0.0,0.0,0.0,0.0,0.5,0.0,1644.0,5.4,-15.96,7.56,behind,,
2015,pit,112526,,FF,139,0.0288561345235623,0.5683453237410072,0.28,0.1346153846153846,0.6086956521739131,0.3833333333333333,0.316546762589928,2268.942028985507,5.285507246376812,-6.473956834532375,16.450359712230217,,,
2015,pit,112526,,FF,47,0.0097571102345858,0.4042553191489361,0.3225806451612903,0.125,0.5333333333333333,0.5357142857142857,0.2340425531914893,2253.489361702128,5.32127659574468,-6.045957446808509,16.485957446808513,two_strike,,
2015,pit,112526,,FF,68,0.0141166701266348,0.5,0.2954545454545454,0.1428571428571428,0.5625,0.4705882352941176,0.2352941176470588,2278.0882352941176,5.314705882352942,-5.895882352941176,16.732941176470586,ahead,,
2015,pit,112526,,FF,7,0.0014531866306829,0.8571428571428571,0.0,0.0,0.0,1.0,0.5714285714285714,2212.1666666666665,5.2,-7.320000000000001,16.25142857142857,behind,,
2015,pit,112526,,SI,197,0.0408968237492215,0.5939086294416244,0.0760869565217391,0.0571428571428571,0.1363636363636363,0.275,0.2842639593908629,2145.546391752577,5.323711340206186,-15.654213197969543,8.398781725888325,,,
2015,pit,112526,,SI,47,0.0097571102345858,0.574468085106383,0.1111111111111111,0.05,0.2857142857142857,0.35,0.2127659574468085,2143.191489361702,5.378723404255318,-15.906382978723403,6.942127659574466,two_strike,,
2015,pit,112526,,SI,57,0.0118330911355615,0.4561403508771929,0.0434782608695652,0.0,0.1666666666666666,0.1935483870967742,0.1929824561403508,2144.964912280702,5.338596491228071,-15.778947368421052,7.760000000000001,ahead,,
