role,year,mlbam,pitch_type,segment,vhb,pitches,Z_Pitches,O_Pitches,Z_Swings,O_Swings,Z_Whiffs,O_Whiffs,CS,edge_cnt,heart_cnt,chase_cnt,group_total,usage_rate,zone_rate,z_swing_rate,o_swing_rate,z_contact_rate,o_contact_rate,z_csw_rate,csw_rate,edge_rate,heart_rate,chase_rate,batter,vs_hand,z_whiff_rate,o_whiff_rate
bat,2015,120074,KC,,vsL,45,17.0,28.0,2.0,4.0,2.0,4.0,11.0,11.0,1.0,4.0,1413.0,0.0318471337579617,0.3777777777777777,0.1176470588235294,0.1428571428571428,0.0,0.0,0.1176470588235294,0.3777777777777777,0.2444444444444444,0.0222222222222222,0.1428571428571428,120074.0,vsL,1.0,
bat,2015,120074,KN,ahead,vsL,7,4.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,226.0,0.0309734513274336,0.5714285714285714,0.0,0.0,,,0.0,0.1428571428571428,0.2857142857142857,0.0,0.0,120074.0,vsL,,
bat,2015,120074,KN,behind,vsL,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0087719298245614,0.0,,0.0,,,,0.0,0.0,0.0,0.0,120074.0,vsL,,
bat,2015,120074,KN,two_strike,vsL,12,6.0,6.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,539.0,0.0222634508348794,0.5,0.0,0.1666666666666666,,0.0,0.0,0.0833333333333333,0.25,0.0833333333333333,0.1666666666666666,120074.0,vsL,,
bat,2015,120074,KN,,vsL,36,16.0,20.0,3.0,1.0,3.0,1.0,3.0,8.0,4.0,1.0,1413.0,0.0254777070063694,0.4444444444444444,0.1875,0.05,0.0,0.0,0.1875,0.1944444444444444,0.2222222222222222,0.1111111111111111,0.05,120074.0,vsL,1.0,
bat,2015,120074,SI,ahead,vsL,40,19.0,21.0,0.0,1.0,0.0,1.0,9.0,9.0,3.0,1.0,226.0,0.1769911504424778,0.475,0.0,0.0476190476190476,,0.0,0.0,0.25,0.225,0.075,0.0476190476190476,120074.0,vsL,,
bat,2015,120074,SI,behind,vsL,12,3.0,9.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,114.0,0.1052631578947368,0.25,0.0,0.2222222222222222,,0.0,0.0,0.1666666666666666,0.0,0.0833333333333333,0.2222222222222222,120074.0,vsL,,
bat,2015,120074,SI,two_strike,vsL,73,38.0,35.0,6.0,8.0,6.0,8.0,2.0,18.0,5.0,8.0,539.0,0.1354359925788497,0.5205479452054794,0.1578947368421052,0.2285714285714285,0.0,0.0,0.1578947368421052,0.2191780821917808,0.2465753424657534,0.0684931506849315,0.2285714285714285,120074.0,vsL,1.0,
bat,2015,120074,SI,,vsL,236,102.0,134.0,10.0,6.0,10.0,6.0,44.0,51.0,14.0,6.0,1413.0,0.1670205237084218,0.4322033898305085,0.0980392156862745,0.044776119402985,0.0,0.0,0.0980392156862745,0.2542372881355932,0.2161016949152542,0.059322033898305,0.044776119402985,120074.0,vsL,1.0,
bat,2015,120074,SL,ahead,vsL,14,9.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,226.0,0.0619469026548672,0.6428571428571429,0.1111111111111111,0.2,0.0,0.0,0.1111111111111111,0.4285714285714285,0.2857142857142857,0.0714285714285714,0.2,120074.0,vsL,1.0,
