year,mlbam,vhb,pitches,zone_rate,z_swing_rate,o_swing_rate,z_contact_rate,o_contact_rate,z_csw_rate,chase_rate,edge_rate,heart_rate,batter,count,swing_rate,whiff_rate,csw_rate,pitches_x
2015,112526,vsR,174,0.6430505952380952,0.1125116713352007,0.4144880760265375,0.0,0.0,0.1125116713352007,0.4144880760265375,0.3091105769230769,0.043545673076923,112526.0,all,0.1125116713352007,1.0,,
2015,115629,vsR,4,1.0,0.0,,,,0.0,,0.8333333333333334,0.0,115629.0,all,0.0,1.0,,
2015,116338,vsR,1962,0.4405695918741951,0.1346466901152228,0.1693897682138709,0.0,0.0,0.1346466901152228,0.1693897682138709,0.211609656073224,0.0735680588981857,116338.0,all,0.1346466901152228,1.0,,
2015,120074,vsL,2292,0.3673093525779189,0.0822512194382386,0.1020175412240184,0.0,0.0,0.0822512194382386,0.1020175412240184,0.1841868976355068,0.046077017300944,120074.0,all,0.0822512194382386,1.0,,
2015,121347,vsR,2335,0.3770489455083411,0.2034204334916992,0.1891841742148789,0.0,0.0,0.2034204334916992,0.1891841742148789,0.1898648665680675,0.0522484341652941,121347.0,all,0.2034204334916992,1.0,,
2015,133380,vsR,1679,0.4370652464164752,0.0785963253765737,0.1050456894613241,0.0,0.0,0.0785963253765737,0.1050456894613241,0.2575671868731652,0.0445497011296296,133380.0,all,0.0785963253765737,1.0,,
2015,134181,vsR,2202,0.4082772173249319,0.0382335481128008,0.1314882891082556,0.0,0.0,0.0382335481128008,0.1314882891082556,0.1398019108174736,0.0882445906575009,134181.0,all,0.0382335481128008,1.0,,
2015,136860,vsL,1374,0.4503235452279253,0.0582444251034582,0.151776503299189,0.0,0.0,0.0582444251034582,0.151776503299189,0.2940072740499321,0.0417951970176551,136860.0,all,0.0582444251034582,1.0,,
2015,136860,vsR,564,0.4188069310517492,0.0415928023317707,0.0986376616923572,0.0,0.0,0.0415928023317707,0.0986376616923572,0.1962132452964332,0.0686188008531507,136860.0,all,0.0415928023317707,1.0,,
2015,150029,vsR,1497,0.3964883756855138,0.1175649520920052,0.1097063212000913,0.0,0.0,0.1175649520920052,0.1097063212000913,0.1698778016887839,0.0467294579681796,150029.0,all,0.1175649520920052,1.0,,
2015,150212,vsR,1467,0.4751208678374665,0.102631205152719,0.2131690050572575,0.0,0.0,0.102631205152719,0.2131690050572575,0.2219286020642126,0.0838970162920204,150212.0,all,0.102631205152719,1.0,,
2015,150229,vsL,1380,0.4225985695043124,0.0499924364691429,0.0974834079141434,0.0,0.0,0.0499924364691429,0.0974834079141434,0.1936736037342883,0.0806335177989918,150229.0,all,0.0499924364691429,1.0,,
2015,150302,vsL,42,0.5296703296703297,0.1804713804713804,0.3333333333333333,0.0,0.0,0.1804713804713804,0.3333333333333333,0.3018315018315018,0.1373626373626373,150302.0,all,0.1804713804713804,1.0,,
2015,150359,vsR,163,0.6164891654537901,0.1475308641975308,0.1994897959183673,0.0,0.0,0.1475308641975308,0.1994897959183673,0.2777350002759839,0.1729189362709638,150359.0,all,0.1475308641975308,1.0,,
2015,217100,vsR,221,0.3885486307413888,0.1886760973982069,0.1873547985502444,0.0,0.0,0.1886760973982069,0.1873547985502444,0.2095804301888565,0.0251316697540953,217100.0,all,0.1886760973982069,1.0,,
2015,218596,vsR,116,0.5960378983634798,0.061504943857885,0.21875,0.0,0.0,0.061504943857885,0.21875,0.2588901193552356,0.0328688322874369,218596.0,all,0.061504943857885,1.0,,
2015,276519,vsL,1582,0.4560371239311558,0.0631809675308277,0.1172077496748239,0.0,0.0,0.0631809675308277,0.1172077496748239,0.1564667634631992,0.1196358681134501,276519.0,all,0.0631809675308277,1.0,,
2015,276519,vsR,423,0.4366809006159827,0.1202841637313687,0.1057539682539682,0.0,0.0,0.1202841637313687,0.1057539682539682,0.2187652175704563,0.0454969377880112,276519.0,all,0.1202841637313687,1.0,,
2015,279824,vsL,34,0.3832967032967033,0.0,0.0,,,0.0,0.0,0.1513186813186813,0.0342857142857142,279824.0,all,0.0,1.0,,
2015,282332,vsL,8,0.7666666666666666,0.2,0.5,0.0,0.0,0.2,0.5,0.3,0.2,282332.0,all,0.2,1.0,,
2015,285064,vsR,156,0.5212374981340498,0.0883660130718954,0.2188961988304093,0.0,0.0,0.0883660130718954,0.2188961988304093,0.2682718191769916,0.1170001119570085,285064.0,all,0.0883660130718954,1.0,,
2015,285078,vsL,718,0.3717160287425439,0.1889538898376916,0.2980057508551921,0.0,0.0,0.1889538898376916,0.2980057508551921,0.1995375776355683,0.0484200764729677,285078.0,all,0.1889538898376916,1.0,,
2015,285079,vsR,8,0.4375,0.0,0.0,,,0.0,0.0,0.0,0.25,285079.0,all,0.0,1.0,,
2015,329092,vsL,6,0.3333333333333333,0.0,0.0,,,0.0,0.0,0.0,0.0,329092.0,all,0.0,1.0,,
2015,346793,vsL,9,0.4333333333333333,0.1666666666666666,0.25,0.0,0.0,0.1666666666666666,0.25,0.3,0.0666666666666666,346793.0,all,0.1666666666666666,1.0,,
2015,346798,vsR,139,0.5941176470588235,0.1015873015873015,0.1339743589743589,0.0,0.0,0.1015873015873015,0.1339743589743589,0.3059640522875816,0.155187908496732,346798.0,all,0.1015873015873015,1.0,,
2015,346874,vsR,1444,0.4136242508657635,0.097917715251574,0.1361466109774075,0.0,0.0,0.097917715251574,0.1361466109774075,0.2076634975764052,0.0715766529675436,346874.0,all,0.097917715251574,1.0,,
