year,csr_edge,csr_heart,euz_index,season,umpire_id
2015,0.8484829225508764,0.9985837805605248,-0.15010085800964834,2015,ALL_1
2016,0.8490586864536702,0.9981061985577974,-0.14904751210412714,2016,ALL_2
2017,0.8711293375394322,0.9980834099969335,-0.12695407245750123,2017,ALL_3
2018,0.88876309797854,0.9992473280144513,-0.11048423003591124,2018,ALL_4
2019,0.8989022571854594,0.9992830970208698,-0.10038083983541046,2019,ALL_5
2020,0.9047139065282398,0.9989860068951532,-0.09427210036691336,2020,ALL_6
2021,0.9062682623167416,0.9992973690373956,-0.09302910672065401,2021,ALL_7
2022,0.9064478663219812,0.9996204069237777,-0.09317254060179658,2022,ALL_8
2023,0.9079284508615769,0.9994867282592755,-0.09155827739769862,2023,ALL_9
2024,0.9049072464130693,0.999689537410742,-0.09478229099767266,2024,ALL_10
2025,0.8894516075216282,0.9997878209208572,-0.11033621339922894,2025,ALL_11
