mlb_id,pitch_type,Velo,Usage
112526,CH,81.47564575645757,0.07721531009592554
112526,CU,81.5,0.0007598062494064014
112526,FC,85.66857142857143,0.006648304682306012
112526,FF,90.35820040899794,0.23221578497483142
112526,IN,75.60681818181818,0.004178934371735207
112526,SI,87.39151553382747,0.6022414284357489
112526,SL,82.00358910891089,0.07674043119004653
115629,CH,84.70434782608696,0.07653910149750416
115629,CU,78.95,0.013311148086522463
115629,FF,93.76612903225806,0.7221297836938436
115629,IN,73.89999999999999,0.004991680532445923
115629,SI,93.96000000000001,0.016638935108153077
115629,SL,87.735,0.16638935108153077
136600,CH,76.10625,0.13008130081300814
136600,CU,73.19090909090909,0.08943089430894309
136600,EP,70.1,0.008130081300813009
136600,FF,85.7,0.008130081300813009
136600,IN,63.375,0.032520325203252036
136600,SI,84.25094339622642,0.43089430894308944
136600,SL,81.67567567567568,0.3008130081300813
150116,CH,78.53188405797101,0.11075441412520064
150116,CU,69.67835051546392,0.15569823434991975
150116,FF,89.2639175257732,0.15569823434991975
150116,IN,64.75,0.006420545746388443
150116,SI,88.55147058823529,0.3274478330658106
150116,SL,83.71184210526316,0.24398073836276082
150274,CH,85.2,0.023255813953488372
150274,CU,81.83684210526316,0.14728682170542637
150274,FF,91.83050847457628,0.4573643410852713
150274,SI,91.53999999999999,0.11627906976744186
150274,SL,86.2030303030303,0.2558139534883721
150302,CH,78.78231707317073,0.20945083014048532
150302,IN,79.6,0.010217113665389528
150302,PO,82.69999999999999,0.002554278416347382
150302,SI,88.30217864923746,0.5862068965517241
150302,SL,82.57933333333334,0.19157088122605365
150359,CH,86.31333333333333,0.08902077151335312
150359,FF,91.68647798742138,0.11795252225519288
150359,IN,77.075,0.002967359050445104
150359,KC,82.3138500635324,0.2919139465875371
150359,PO,84.1,0.000370919881305638
150359,SI,91.49403874813711,0.4977744807121662
217096,CH,74.29090909090908,0.22
217096,CU,70.02,0.2
217096,FF,84.04888888888888,0.3
217096,SI,84.47142857142858,0.28
218596,CU,75.77268518518518,0.11362440820620726
218596,FC,83.02165898617511,0.2283008942661757
218596,FF,88.53,0.0683850604944766
218596,FS,80.90426540284359,0.1109942135718043
218596,PO,82.10000000000001,0.0015781167806417674
218596,SI,88.78302094818082,0.47711730668069435
234194,CH,84.875,0.03389830508474576
234194,FF,90.85507246376811,0.5847457627118644
234194,SI,89.90344827586206,0.2457627118644068
234194,SL,86.35,0.13559322033898305
276351,CH,85.19607843137256,0.019510328997704666
276351,FF,93.36797998749218,0.6117061973986228
276351,IN,71.3875,0.00306044376434583
276351,SI,92.85441176470589,0.026013771996939557
276351,SL,81.52725225225225,0.33970925784238715
276514,CU,79.888,0.10964912280701754
276514,FC,88.50357142857142,0.12280701754385964
276514,FF,91.53237410071942,0.6096491228070176
276514,FS,83.63611111111112,0.15789473684210525
276520,CH,75.72882882882882,0.0967741935483871
276520,CU,71.8139751552795,0.2807323452484743
276520,FC,84.36744186046512,0.07497820401046207
276520,FF,84.37925925925927,0.23539668700959024
276520,SI,83.44250000000001,0.1046207497820401
276520,SL,72.94663865546218,0.2074978204010462
276542,CH,84.56788321167883,0.29696531791907516
276542,CU,83.7,0.000361271676300578
276542,FF,94.72684684684685,0.40101156069364163
276542,IN,61.36,0.0018063583815028901
276542,SI,95.0593659942363,0.12536127167630057
276542,SL,87.61138716356108,0.17449421965317918
279571,CH,86.48666666666666,0.01053740779768177
279571,CU,74.33920863309352,0.09764664559185107
279571,FF,90.87631172839507,0.45521601685985247
279571,IN,76.3875,0.005619950825430277
279571,PO,88.1,0.0007024938531787847
279571,SI,90.86329966329967,0.10432033719704953
279571,SL,85.95398706896552,0.3259571478749561
279824,CH,78.76363636363637,0.20554123711340205
279824,CU,71.80922509225093,0.08730670103092783
279824,FC,79.93943894389439,0.1952319587628866
279824,FF,84.49610231425092,0.2644974226804124
279824,IN,71.35833333333333,0.003865979381443299
279824,SI,83.56613756613757,0.24355670103092783
282332,CH,83.45074123989218,0.1134036374751643
282332,FC,89.22137126185267,0.20953690967446126
282332,FF,89.7682564917859,0.14419990829894544
282332,IN,72.76875,0.0012226807274950328
282332,SI,89.88198171630788,0.2591318966834785
282332,SL,79.83230510375772,0.27250496714045547
285064,CH,84.12745098039215,0.10453497309761722
285064,CU,76.80770288858321,0.1862669741224699
285064,FF,91.32470433639948,0.3899564437612093
285064,IN,82.48461538461538,0.003330771201639764
285064,PO,84.4,0.00025621316935690495
285064,SI,91.152783109405,0.13348706123494747
285064,SL,88.1267229254571,0.18216756341275941
285079,EP,65.30343137254901,0.022459539799625675
285079,FF,83.01089271089272,0.13442695144775954
285079,IN,63.349999999999994,0.0002201915666629968
285079,KN,76.87926845199217,0.8427832214026203
285079,PO,76.9,0.0001100957833314984
329092,FF,84.83333333333333,0.006864988558352402
329092,SI,84.18490566037735,0.6064073226544623
329092,SL,74.47751479289941,0.38672768878718533
346793,CH,86.66250000000001,0.0821917808219178
346793,CU,74.93776223776224,0.24486301369863014
346793,IN,82.3875,0.0136986301369863
346793,SI,91.00805194805194,0.6592465753424658
346797,CH,88.1,0.02247191011235955
346797,CU,81.33333333333333,0.033707865168539325
346797,FC,88.69999999999999,0.02247191011235955
346797,FF,90.13225806451612,0.34831460674157305
346797,SI,89.73571428571428,0.15730337078651685
346797,SL,85.35675675675675,0.4157303370786517
346798,CH,79.66885813148788,0.20223932820153953
346798,CU,75.22916666666667,0.06717984604618614
346798,FF,89.75,0.008397480755773267
346798,IN,60.725,0.004198740377886634
346798,SI,89.71591962905718,0.45276417074877534
346798,SL,84.61820580474934,0.26522043386983907
346847,CH,81.29705882352941,0.09742120343839542
346847,CU,72.09285714285714,0.04011461318051576
346847,FF,89.11358024691357,0.34813753581661894
346847,IN,69.1,0.011461318051575931
346847,SI,85.94389312977098,0.3753581661891118
346847,SL,79.72921348314607,0.12750716332378223
400085,CH,87.23333333333333,0.5
400085,CU,79.0375,0.4444444444444444
400085,FF,88.5,0.05555555555555555
400089,CU,80.85833333333333,0.22429906542056074
400089,FC,90.92941176470588,0.1588785046728972
400089,FF,91.49736842105263,0.35514018691588783
400089,SI,91.375,0.037383177570093455
400089,SL,85.52083333333333,0.22429906542056074
405395,CU,53.325,0.2962962962962963
405395,FA,62.373684210526314,0.7037037037037037
407793,CH,84.33222506393862,0.0413844199830652
407793,CU,78.52252066115703,0.10245554614733277
407793,FC,83.33575235752357,0.2581498729889924
407793,FF,91.88763180393275,0.37140135478408126
407793,IN,62.804545454545455,0.0023285351397121083
407793,PO,87.0,0.00021168501270110075
407793,SI,91.98001889466227,0.22406858594411516
407819,FC,87.22578125,0.13588110403397027
407819,FF,94.03429752066116,0.25690021231422505
407819,IN,81.775,0.016985138004246284
407819,SI,93.18404761904763,0.445859872611465
407819,SL,84.1875,0.14437367303609341
407822,CH,82.73384615384614,0.009317660550458715
407822,CU,74.05099206349206,0.07224770642201835
407822,FC,87.23453536754508,0.20670871559633028
407822,FF,91.98409658617818,0.3443233944954128
407822,FS,82.89967132292522,0.3489105504587156
407822,IN,75.955,0.0028669724770642203
407822,SI,91.32394366197182,0.010177752293577981
407822,SL,86.47105263157896,0.005447247706422019
407845,CH,83.14224095190878,0.3558574453069866
407845,FF,94.88868501529052,0.17307692307692307
407845,IN,73.68636363636364,0.0038814396612561752
407845,PO,85.2,0.00017642907551164433
407845,SI,94.38960739030024,0.45836273817925194
407845,SL,85.96530612244898,0.008645024700070572
407890,CH,83.36871508379889,0.06850363566781477
