year,role,mlbam,player_name,perf,pct,war_est,AAV_mid,AAV_low,AAV_high,years_guess
2015,bat,112526,"Dyson, Sam",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,112526,"Latos, Mat",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,112526,"Phelps, David",-0.8780356713314614,0.25253586190128857,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,112526,"Scherzer, Max",-1.0923167483023835,0.1799708242159008,0.5,1.1351561495662548,0.9081249196530039,1.4189451869578185,1
2015,bat,112526,"Teheran, Julio",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,112526,"Wood, Alex",-1.3338930814162682,0.08344274252370533,0.5,1.1351561495662548,0.9081249196530039,1.4189451869578185,1
2015,bat,116338,"Albers, Matt",-1.176474695199932,0.14584488208120594,0.5,1.1351561495662548,0.9081249196530039,1.4189451869578185,1
2015,bat,116338,"Carroll, Scott",-1.0912064026660833,0.18209579382445903,0.5,1.1351561495662548,0.9081249196530039,1.4189451869578185,1
2015,bat,116338,"Duffy, Danny",0.5618698706721681,0.7470070508144906,3.0,6.810936897397529,5.448749517918023,8.51367112174691,3
2015,bat,116338,"Duke, Zach",-1.0912064026660833,0.18209579382445903,0.5,1.1351561495662548,0.9081249196530039,1.4189451869578185,1
2015,bat,116338,"Gorzelanny, Tom",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,116338,"Greene, Shane",-1.0522681857256118,0.20062241672744954,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,116338,"Guthrie, Jeremy",0.6882793040895843,0.7688694383661561,3.0,6.810936897397529,5.448749517918023,8.51367112174691,3
2015,bat,116338,"Hagadone, Nick",-1.3338930814162682,0.08344274252370533,0.5,1.1351561495662548,0.9081249196530039,1.4189451869578185,1
2015,bat,116338,"Hernández, Félix",-1.1740407765133318,0.14656941405300267,0.5,1.1351561495662548,0.9081249196530039,1.4189451869578185,1
2015,bat,116338,"Herrera, Kelvin",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,116338,"House, TJ",-0.7024807408099542,0.2939460247994165,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,116338,"Leone, Dominic",2.1964575261480186,0.9390809628008753,5.0,11.351561495662548,9.081249196530038,14.189451869578185,5
2015,bat,116338,"Luetge, Lucas",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,116338,"Madson, Ryan",2.1423192122881236,0.9356576707999027,5.0,11.351561495662548,9.081249196530038,14.189451869578185,5
2015,bat,116338,"Medina, Yoervis",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,116338,"Morales, Franklin",-1.0912064026660833,0.18209579382445903,0.5,1.1351561495662548,0.9081249196530039,1.4189451869578185,1
2015,bat,116338,"Nathan, Joe",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,116338,"Noesí, Hector",-1.6155437207049546,0.02427425237053246,0.5,1.1351561495662548,0.9081249196530039,1.4189451869578185,1
2015,bat,116338,"Paxton, James",-0.042629873538239826,0.44953075613907123,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,116338,"Pino, Yohan",-0.08280006692086245,0.4389010454655969,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,116338,"Price, David",-0.28383672624753287,0.3899829807926088,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,116338,"Putnam, Zach",0.06785697617051761,0.6512813031850231,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,116338,"Quintana, Jose",-0.17888319132782088,0.4160369559931923,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,116338,"Salazar, Danny",1.9066484848528376,0.9202723073182592,5.0,11.351561495662548,9.081249196530038,14.189451869578185,5
2015,bat,116338,"Sale, Chris",-0.50321036825469,0.3387697544371505,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,116338,"Shaw, Bryan",-1.3338930814162682,0.08344274252370533,0.5,1.1351561495662548,0.9081249196530039,1.4189451869578185,1
2015,bat,116338,"Soria, Joakim",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,116338,"Swarzak, Anthony",1.7963524611814976,0.9108193532701191,5.0,11.351561495662548,9.081249196530038,14.189451869578185,5
2015,bat,116338,"Sánchez, Aníbal",-1.0218950497614883,0.21308047653780696,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,116338,"Vargas, Jason",-0.996293099799107,0.2213663992219791,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,116338,"Volquez, Edinson",-0.6750338536145523,0.299975686846584,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,116338,"Wilson, Alex",-1.0354540575477977,0.2075565280816922,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,116338,"Young, Chris",-0.14046977330464333,0.42554826160953074,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,120074,"Archer, Chris",-0.47968796441583295,0.3440797471432045,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,120074,"Betances, Dellin",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,120074,"Boxberger, Brad",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,120074,"Britton, Zack",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,120074,"Buchanan, David",1.4665002703885859,0.8778993435448578,3.0,6.810936897397529,5.448749517918023,8.51367112174691,3
2015,bat,120074,"Carpenter, David",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,120074,"Chen, Wei-Yin",0.5707380381177394,0.7488840262582057,3.0,6.810936897397529,5.448749517918023,8.51367112174691,3
2015,bat,120074,"Davies, Kyle",-1.0092176598450748,0.21662533430585948,1.0,2.2703122991325095,1.8162498393060078,2.837890373915637,1
2015,bat,120074,"De Fratus, Justin",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,120074,"Dickey, R.A.",0.4228043404084888,0.7213858497447119,3.0,6.810936897397529,5.448749517918023,8.51367112174691,3
2015,bat,120074,"Eovaldi, Nathan",0.1191784080272365,0.6615511791879407,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,120074,"Estrada, Marco",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,120074,"Francis, Jeff",-1.2814202860108228,0.11102844638949672,0.5,1.1351561495662548,0.9081249196530039,1.4189451869578185,1
2015,bat,120074,"Frieri, Ernesto",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,120074,"García, Jason",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,120074,"Gausman, Kevin",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,120074,"Geltz, Steve",-0.06971132542465364,0.4428446389496718,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,120074,"Giles, Ken",0.0,0.5478385606613178,2.0,4.540624598265019,3.6324996786120156,5.675780747831274,2
2015,bat,120074,"González, Miguel",1.7350611567199319,0.9062387551665451,5.0,11.351561495662548,9.081249196530038,14.189451869578185,5
