year,mlbam,role,pitch_type,segment,vhb,pitches,Z_Pitches,O_Pitches,swings,Z_Swings,O_Swings,whiffs,Z_Whiffs,O_Whiffs,contacts,Z_Contacts,O_Contacts,called,Z_Called,edge,heart,chase,avg_spin,avg_ext,h_mov_in,v_mov_in,usage_rate,zone_rate,whiff_rate,z_whiff_rate,o_whiff_rate,z_swing_rate,o_swing_rate,z_contact_rate,o_contact_rate,csw_rate,z_csw_rate,edge_rate,heart_rate,chase_rate
2015,112526,pit,SI,behind,vsR,21,8,13,6,4,2,0,0,0,6,4,2,5,4,7,1,13,2156.809523809524,5.29047619047619,-1.3538095238095238,0.7385714285714285,0.05357142857142857,0.38095238095238093,0.0,0.0,0.0,0.5,0.15384615384615385,1.0,1.0,0.23809523809523808,0.5,0.3333333333333333,0.047619047619047616,0.6190476190476191
2015,112526,pit,SI,two_strike,vsL,9,7,2,5,4,1,0,0,0,5,4,1,4,3,6,1,2,2130.8888888888887,5.377777777777777,-1.2933333333333334,0.5133333333333333,0.02295918367346939,0.7777777777777778,0.0,0.0,0.0,0.5714285714285714,0.5,1.0,1.0,0.4444444444444444,0.42857142857142855,0.6666666666666666,0.1111111111111111,0.2222222222222222
2015,112526,pit,SI,two_strike,vsR,38,20,18,22,16,6,3,1,2,19,15,4,3,3,13,7,18,2146.1052631578946,5.378947368421053,-1.333157894736842,0.5939473684210527,0.09693877551020408,0.5263157894736842,0.13636363636363635,0.0625,0.3333333333333333,0.8,0.3333333333333333,0.9375,0.6666666666666666,0.15789473684210525,0.2,0.34210526315789475,0.18421052631578946,0.47368421052631576
2015,112526,pit,SI,,vsL,24,10,14,9,5,4,1,0,1,8,5,3,5,4,8,2,14,2082.9565217391305,5.2,-1.2695833333333333,0.7579166666666667,0.061224489795918366,0.4166666666666667,0.1111111111111111,0.0,0.25,0.5,0.2857142857142857,1.0,0.75,0.25,0.4,0.3333333333333333,0.08333333333333333,0.5833333333333334
2015,112526,pit,SI,,vsR,48,34,14,20,17,3,1,1,0,19,16,3,15,13,27,7,14,2163.0,5.339583333333334,-1.2702083333333334,0.709375,0.12244897959183673,0.7083333333333334,0.05,0.058823529411764705,0.0,0.5,0.21428571428571427,0.9411764705882353,1.0,0.3333333333333333,0.4117647058823529,0.5625,0.14583333333333334,0.2916666666666667
2015,112526,pit,SL,ahead,vsL,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2390.0,4.9,0.19,0.59,0.002551020408163265,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2015,112526,pit,SL,ahead,vsR,7,3,4,6,3,3,1,1,0,5,2,3,0,0,3,0,4,2218.1428571428573,4.785714285714286,0.3085714285714286,0.4014285714285714,0.017857142857142856,0.42857142857142855,0.16666666666666666,0.3333333333333333,0.0,1.0,0.75,0.6666666666666666,1.0,0.14285714285714285,0.3333333333333333,0.42857142857142855,0.0,0.5714285714285714
2015,112526,pit,SL,behind,vsR,4,1,3,1,0,1,1,0,1,0,0,0,1,1,1,0,3,2420.0,5.0,0.3825,0.1925,0.01020408163265306,0.25,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.5,1.0,0.25,0.0,0.75
2015,112526,pit,SL,two_strike,vsL,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,2387.0,4.9,0.36,-0.05,0.002551020408163265,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2015,112526,pit,SL,two_strike,vsR,11,4,7,7,4,3,1,0,1,6,4,2,0,0,4,0,7,2220.6363636363635,5.0,0.18727272727272729,0.15636363636363637,0.02806122448979592,0.36363636363636365,0.14285714285714285,0.0,0.3333333333333333,1.0,0.42857142857142855,1.0,0.6666666666666666,0.09090909090909091,0.0,0.36363636363636365,0.0,0.6363636363636364
