season,pitcher_id,dominant_pitch,usage_entropy,repeat_rate,_role_pitch,batter_id,ev_mean,n_bbe,_role_bat
2025,450203,CH,1.5991654107425068,0.23076923076923078,Bulk/Swing,,,,
2025,502054,CH,2.56010089119047,0.045454545454545456,Mixing Starter,,,,
2025,516782,CH,2.4797076717021445,0.04918032786885246,Mixing Starter,,,,
2025,543243,CH,2.190596802970671,0.06521739130434782,Mixing Starter,,,,
2025,543518,FF,1.374545192908375,0.14285714285714285,Bulk/Swing,,,,
2025,546991,CH,1.5991654107425068,0.11538461538461539,Bulk/Swing,,,,
2025,571948,CH,1.5991654107425068,0.23076923076923078,Bulk/Swing,,,,
2025,573186,CU,1.9378230905790836,0.16666666666666666,Bulk/Swing,,,,
2025,592206,CH,2.5601008911904697,0.0,Mixing Starter,,,,
2025,592325,CH,1.782694688604736,0.06451612903225806,Bulk/Swing,,,,
2025,594798,CH,1.374545192908375,0.14285714285714285,Bulk/Swing,,,,
2025,595345,CH,1.5991654107425068,0.11538461538461539,Bulk/Swing,,,,
2025,596001,CH,1.374545192908375,0.0,Bulk/Swing,,,,
2025,596019,CH,2.3009381253732895,0.297029702970297,Bulk/Swing,,,,
2025,606160,FF,1.374545192908375,0.2857142857142857,Bulk/Swing,,,,
2025,606192,CH,2.4797076717021445,0.01639344262295082,Mixing Starter,,,,
2025,606930,FC,1.374545192908375,0.09523809523809523,Bulk/Swing,,,,
2025,621016,CH,1.374545192908375,0.09523809523809523,Bulk/Swing,,,,
2025,640458,CH,1.782694688604736,0.16129032258064516,Bulk/Swing,,,,
2025,641427,CU,1.5991654107425068,0.11538461538461539,Bulk/Swing,,,,
2025,641680,CH,2.4582674669088345,0.26126126126126126,Bulk/Swing,,,,
2025,642239,CH,1.782694688604736,0.12903225806451613,Bulk/Swing,,,,
2025,643446,CH,2.3922922035346867,0.05357142857142857,Mixing Starter,,,,
2025,644433,CH,2.190596802970671,0.10869565217391304,Mixing Starter,,,,
2025,650402,CH,2.3922922035346867,0.017857142857142856,Mixing Starter,,,,
2025,657649,CH,1.5991654107425068,0.15384615384615385,Bulk/Swing,,,,
2025,660688,CH,2.3688937313105387,0.2376237623762376,Bulk/Swing,,,,
2025,661563,CH,1.0852280400722045,0.0625,Bulk/Swing,,,,
2025,663432,CH,1.0852280400722045,0.1875,Bulk/Swing,,,,
2025,663623,CH,1.9378230905790836,0.08333333333333333,Mixing Starter,,,,
2025,663853,CH,2.3922922035346867,0.08928571428571429,Mixing Starter,,,,
2025,664351,CH,1.7826946886047361,0.0967741935483871,Bulk/Swing,,,,
2025,665152,CU,1.9378230905790836,0.05555555555555555,Mixing Starter,,,,
2025,665161,CH,2.3922922035346867,0.08928571428571429,Mixing Starter,,,,
2025,665489,CH,2.56010089119047,0.06060606060606061,Mixing Starter,,,,
2025,665861,CH,2.3922922035346867,0.07142857142857142,Mixing Starter,,,,
2025,666134,CH,2.2965114666021638,0.0784313725490196,Mixing Starter,,,,
2025,669200,CH,2.190596802970671,0.15217391304347827,Bulk/Swing,,,,
2025,669256,CH,2.0721529997457324,0.1951219512195122,Bulk/Swing,,,,
2025,669742,FC,0.6791932659915256,0.45454545454545453,Bulk/Swing,,,,
2025,669854,CH,1.374545192908375,0.19047619047619047,Bulk/Swing,,,,
2025,672373,CH,2.0721529997457324,0.07317073170731707,Mixing Starter,,,,
2025,672537,SI,-0.0,1.0,High-Leverage RP,,,,
2025,672710,CH,1.7826946886047361,0.1935483870967742,Bulk/Swing,,,,
2025,676428,CH,1.374545192908375,0.19047619047619047,Bulk/Swing,,,,
2025,676466,CH,2.0721529997457324,0.04878048780487805,Mixing Starter,,,,
2025,677049,FF,-0.0,1.0,High-Leverage RP,,,,
2025,677588,CH,2.3922922035346867,0.05357142857142857,Mixing Starter,,,,
2025,677594,CH,2.3922922035346867,0.07142857142857142,Mixing Starter,,,,
2025,677651,CH,1.5991654107425068,0.07692307692307693,Bulk/Swing,,,,
2025,680574,CH,2.4797076717021445,0.06557377049180328,Mixing Starter,,,,
2025,680730,CU,1.374545192908375,0.14285714285714285,Bulk/Swing,,,,
2025,681370,FF,1.374545192908375,0.14285714285714285,Bulk/Swing,,,,
2025,681962,EP,2.43845433608751,0.045454545454545456,Mixing Starter,,,,
2025,682626,CH,2.3922922035346867,0.05357142857142857,Mixing Starter,,,,
2025,682646,CH,0.6791932659915256,0.36363636363636365,Bulk/Swing,,,,
2025,683737,CH,2.4797076717021445,0.09836065573770492,Mixing Starter,,,,
2025,684384,FF,1.0852280400722045,0.25,Bulk/Swing,,,,
2025,685133,CH,1.9378230905790836,0.1111111111111111,Mixing Starter,,,,
2025,685321,CH,1.374545192908375,0.23809523809523808,Bulk/Swing,,,,
2025,686249,CH,1.374545192908375,0.047619047619047616,Bulk/Swing,,,,
2025,686555,CH,2.520155608030258,0.25225225225225223,Bulk/Swing,,,,
2025,686638,CH,1.374545192908375,0.19047619047619047,Bulk/Swing,,,,
2025,687071,CH,1.0852280400722045,0.25,Bulk/Swing,,,,
2025,687396,FF,1.374545192908375,0.23809523809523808,Bulk/Swing,,,,
2025,687589,CH,1.782694688604736,0.16129032258064516,Bulk/Swing,,,,
2025,688617,SI,0.6791932659915256,0.45454545454545453,Bulk/Swing,,,,
2025,689041,CH,2.190596802970671,0.10869565217391304,Mixing Starter,,,,
2025,689750,CU,1.0852280400722045,0.5,High-Leverage RP,,,,
2025,690984,CH,1.9378230905790836,0.05555555555555555,Mixing Starter,,,,
2025,690990,CH,1.7826946886047361,0.0967741935483871,Bulk/Swing,,,,
2025,691410,CU,1.374545192908375,0.14285714285714285,Bulk/Swing,,,,
2025,691441,CH,1.5991654107425068,0.23076923076923078,Bulk/Swing,,,,
2025,691718,CH,2.56010089119047,0.06060606060606061,Mixing Starter,,,,
2025,692064,CH,1.374545192908375,0.047619047619047616,Bulk/Swing,,,,
2025,692230,CH,1.782694688604736,0.3225806451612903,Bulk/Swing,,,,
2025,694037,CU,1.5991654107425068,0.07692307692307693,Bulk/Swing,,,,
2025,694182,CH,1.0852280400722045,0.125,Bulk/Swing,,,,
2025,694214,FC,1.0852280400722045,0.1875,Bulk/Swing,,,,
2025,694851,CH,1.0852280400722045,0.25,Bulk/Swing,,,,
2025,694978,CH,1.0852280400722045,0.25,Bulk/Swing,,,,
2025,696285,CH,2.5601008911904697,0.045454545454545456,Mixing Starter,,,,
2025,700337,CH,2.4469666295694656,0.27358490566037735,Bulk/Swing,,,,
2025,701158,FC,0.6791932659915256,0.45454545454545453,Bulk/Swing,,,,
2025,701656,CH,1.374545192908375,0.14285714285714285,Bulk/Swing,,,,
2025,702140,CU,1.5991654107425068,0.23076923076923078,Bulk/Swing,,,,
2025,702352,CH,1.9378230905790836,0.1111111111111111,Mixing Starter,,,,
2025,802353,CU,0.6791932659915256,0.2727272727272727,Bulk/Swing,,,,
2025,806367,FF,1.0852280400722045,0.3125,Bulk/Swing,,,,
2025,807747,CH,1.782694688604736,0.0967741935483871,Bulk/Swing,,,,
2025,808975,CH,2.56010089119047,0.045454545454545456,Mixing Starter,,,,
2025,814172,CH,1.0852280400722045,0.1875,Bulk/Swing,,,,
2025,814409,CH,1.7826946886047361,0.12903225806451613,Bulk/Swing,,,,
2025,815039,CH,1.9378230905790836,0.05555555555555555,Mixing Starter,,,,
2015,150212,CH,2.2551362794817553,0.6081871345029239,Bulk/Swing,,,,
2015,279824,FF,1.717876054660348,0.6549421193232413,Bulk/Swing,,,,
2015,408045,CH,2.4832824020217275,0.5612244897959183,Bulk/Swing,,,,
2015,429664,CH,2.453824380552326,0.4973821989528796,Bulk/Swing,,,,
2015,430681,FF,1.9542070989370632,0.46153846153846156,Bulk/Swing,,,,
2015,430897,SI,2.1751949836986606,0.6051660516605166,Bulk/Swing,,,,
2015,431145,CH,2.404096711154294,0.4973821989528796,Bulk/Swing,,,,
2015,434563,CH,2.280871363597434,0.4375,Bulk/Swing,,,,
