pitch_type,pitches,velo,xwOBA,csw_rate,whiff_rate,hardhit_rate
,1209689,,0.30491907910489313,0.2361863551850798,0.18549052987422351,0.3224970663463008
FF,225175,93.00576965832221,0.29855418113207544,0.2361796063789115,0.1439294787773963,
SI,169791,92.78286776293193,0.3429508074074074,0.21019166211561152,0.10708645361719028,
SL,163868,83.93629506424418,0.3075747711864408,0.28736254249666277,0.27159817771236244,
CH,155664,85.11971834517585,0.25321449999999995,0.22729840894884315,0.2311663074630612,
CU,115182,77.63115306813506,0.31248475000000003,0.28845229133274825,0.22403111035231574,
FC,73904,88.78938368967727,0.3847599999999999,0.23217457886419332,0.17483375547825847,
KC,32274,80.48039294849002,0.19315300000000002,0.3082435688472054,0.2726860564385188,
FS,27554,85.73269030415909,0.19039637735849058,0.25455199859700584,0.27324270948636603,
IN,24650,72.37357459798037,,0.0,0.0,
ST,12031,81.85767953169382,0.2554980333333332,0.2808617351318782,0.2731738868865815,
PO,7436,88.39852687155442,,0.0,0.0,
EP,4946,51.786110014161494,,0.13419051212935795,0.07656159386163741,
KN,4365,66.75507508081046,,0.2537742349686046,0.19331344337574868,
SV,3999,81.42668537986907,0.18431300000000003,0.28334321007197233,0.3696102344558485,
FA,2820,71.67333183811579,,0.10946545044725424,0.04266380774280483,
FO,1660,83.1966592160936,0.1039504,0.24893292302515274,0.3407426038978296,
CS,1406,63.30239555518319,,0.19228098607921784,0.08005536130536131,
SC,205,80.99476096443976,,0.1891891891891892,0.15,
AB,76,86.86666666666669,,0.0,0.0,
