season,pitcher_id,name,pitch_type,usage_rate
2015,605477,,AB,0.25
2015,570663,,AB,0.041666666666666664
2015,543094,,CH,1.0
2015,518653,,CH,0.5
2015,592570,,CH,0.5
2015,453895,,CH,0.5
2015,519208,,CH,0.5
2015,489138,,CH,0.5
2015,502042,,CH,0.3333333333333333
2015,518617,,CH,0.3333333333333333
2015,571901,,CH,0.3333333333333333
2015,592677,,CH,0.3333333333333333
2015,592781,,CH,0.3333333333333333
2015,453307,,CH,0.3333333333333333
2015,595235,,CH,0.3333333333333333
2015,502162,,CH,0.3333333333333333
2015,612272,,CH,0.3333333333333333
2015,572362,,CH,0.3333333333333333
2015,553872,,CH,0.3333333333333333
2015,594835,,CH,0.3333333333333333
2015,500610,,CH,0.3333333333333333
2015,462945,,CH,0.3333333333333333
2015,448179,,CS,0.1
2015,456121,,CU,1.0
2015,430404,,CU,1.0
2015,424325,,CU,1.0
2015,460060,,CU,0.5
2015,489138,,CU,0.5
2015,506560,,CU,0.5
2015,519208,,CU,0.5
2015,453895,,CU,0.5
2015,518653,,CU,0.5
2015,516714,,CU,0.5
2015,605218,,CU,0.4
2015,547348,,CU,0.4
2015,605333,,CU,0.375
2015,500721,,CU,0.36363636363636365
2015,489267,,CU,0.3333333333333333
2015,425786,,CU,0.3333333333333333
2015,453214,,CU,0.3333333333333333
2015,453249,,CU,0.3333333333333333
2015,459429,,CU,0.3333333333333333
2015,458584,,CU,0.3333333333333333
2015,285079,,EP,0.2857142857142857
2015,136600,,EP,0.14285714285714285
2015,628333,,EP,0.13043478260869565
2015,430580,,EP,0.11627906976744186
2015,518633,,EP,0.10526315789473684
2015,453344,,EP,0.1
2015,506693,,EP,0.09090909090909091
2015,425844,,EP,0.07692307692307693
2015,425386,,EP,0.075
2015,453646,,EP,0.075
2015,573127,,EP,0.0625
2015,621962,,EP,0.047619047619047616
2015,519242,,EP,0.043478260869565216
2015,433579,,EP,0.025
2015,541652,,FA,0.07142857142857142
2015,519242,,FA,0.043478260869565216
2015,572096,,FA,0.03333333333333333
2015,500779,,FA,0.03225806451612903
2015,592717,,FA,0.030303030303030304
2015,434671,,FA,0.02631578947368421
2015,458681,,FA,0.024390243902439025
2015,594762,,FC,0.4
2015,543766,,FC,0.35
2015,502281,,FC,0.3333333333333333
2015,519267,,FC,0.3125
2015,444935,,FC,0.3076923076923077
2015,445276,,FC,0.3
2015,501563,,FC,0.3
2015,491159,,FC,0.29411764705882354
