year,pitcher_id,pitches,xwOBA,velo,csw_rate,chase_rate,zone_rate
2015,,1974822,0.30491907910490523,,0.24119232382707761,0.3718731618919096,0.47693904045134
,,101737,0.29216330877573143,85.62887499149345,,,
2025,,86364,,,0.23648628934606022,0.32201282502334017,0.3477913170614751
2015,502009,255,,,0.26224207550104267,,
2015,477003,245,,,0.2187806097499846,,
2015,425532,240,,,0.270500539982594,,
2015,475243,235,,,0.2357551171198823,,
2015,628333,230,,,0.21774510096681765,,
2015,502327,215,,,0.23205375275826315,,
2015,430580,215,,,0.19233451484350086,,
2015,502004,215,,,0.21750456181150973,,
2015,518774,215,,,0.27492192888876665,,
2015,545333,215,,,0.2965106395949239,,
2015,431148,210,,,0.25232290337151314,,
2015,592665,210,,,0.13837866081344813,,
2015,543037,210,,,0.23591651152062154,,
2015,476589,205,,,0.24866844046486553,,
2015,453222,205,,,0.27322755261541537,,
2015,456501,205,,,0.22888394183619132,,
2015,458681,205,,,0.18791098387761046,,
2015,433579,200,,,0.21725530160914985,,
2015,502083,200,,,0.21566222744496205,,
2015,542882,200,,,0.2741664473493758,,
2015,543606,200,,,0.2791485027201645,,
2015,425386,200,,,0.230550489122584,,
2015,453646,200,,,0.26236484855670744,,
2015,476451,200,,,0.20467836024327582,,
2015,444520,195,,,0.20885550334269873,,
2015,452666,195,,,0.24147780747929667,,
2015,502188,195,,,0.2584743151230037,,
2015,543219,195,,,0.2521948119266541,,
2015,571946,195,,,0.21338974951226453,,
2015,425844,195,,,0.2521543133745947,,
2015,434622,195,,,0.2954858833863599,,
2015,450308,195,,,0.2319561115333756,,
2015,502190,195,,,0.2246093691305609,,
2015,543521,195,,,0.21129901400064652,,
2015,573109,195,,,0.2803683217124154,,
2015,279824,190,,,0.2123692763372417,,
2015,430935,190,,,0.2566710209283683,,
2015,434628,190,,,0.24234052765024883,,
2015,457918,190,,,0.21697017922902437,,
2015,501625,190,,,0.2784310695758974,,
2015,594798,190,,,0.27112341132931217,,
2015,421685,190,,,0.19220585344271468,,
2015,434671,190,,,0.23740752454149558,,
2015,453178,190,,,0.21909899774086092,,
2015,453562,190,,,0.2567646578735928,,
2015,488846,190,,,0.20169406009326252,,
2015,516969,190,,,0.3028353439834677,,
2015,518633,190,,,0.2807387093858601,,
2015,527054,190,,,0.2630269535772966,,
2015,547179,190,,,0.23762681233728866,,
2015,407793,185,,,0.22308669702319714,,
2015,407890,185,,,0.22235705242050247,,
2015,433589,185,,,0.24482838862125442,,
2015,446399,185,,,0.22854837857216032,,
2015,451596,185,,,0.2211497150718915,,
2015,456034,185,,,0.27364548114895443,,
2015,460156,185,,,0.23825839049322003,,
2015,472551,185,,,0.2206640538948993,,
2015,501957,185,,,0.2234104072697831,,
2015,518516,185,,,0.20689160107972268,,
2015,518790,185,,,0.23347662971181526,,
2015,543101,185,,,0.201241162473487,,
2015,429717,185,,,0.24211765422988732,,
2015,435043,185,,,0.24424837084391113,,
2015,446372,185,,,0.29031244261801803,,
2015,465657,185,,,0.2488380878901368,,
2015,474463,185,,,0.2409704186739721,,
2015,523989,185,,,0.21601682735012015,,
2015,543408,185,,,0.23104180663078314,,
2015,543699,185,,,0.22968360430309637,,
2015,547888,185,,,0.2879567326642391,,
2015,572070,185,,,0.24106722087887755,,
2015,448802,185,,,0.24260140483565398,,
2015,285064,180,,,0.2475592939290079,,
2015,433586,180,,,0.2950325306248854,,
2015,471822,180,,,0.19618289278589868,,
2015,473879,180,,,0.25330290750915435,,
2015,517593,180,,,0.2470850827165601,,
2015,532077,180,,,0.24425037867672938,,
2015,572971,180,,,0.2626559546270586,,
2015,605135,180,,,0.22400159635312034,,
2015,445926,180,,,0.23294470243194063,,
2015,475115,180,,,0.241007085324162,,
2015,543135,180,,,0.2621574236556776,,
2015,543243,180,,,0.25372242229739866,,
2015,570649,180,,,0.2577170275903496,,
2015,595307,180,,,0.2174641234596476,,
2015,452657,175,,,0.2673683287632137,,
2015,453286,175,,,0.3024561340460206,,
2015,502381,175,,,0.25564602291026184,,
2015,519144,175,,,0.24615510785963643,,
2015,541640,175,,,0.27850474515645496,,
2015,543507,175,,,0.23037408643445367,,
2015,445163,175,,,0.2038710919877546,,
2015,346798,175,,,0.2416112481349944,,
2015,430641,175,,,0.2124557287184241,,
2015,502043,175,,,0.2307935125949038,,
2015,543294,175,,,0.2504545979815696,,
2015,612672,175,,,0.25021994263527697,,
2015,623184,175,,,0.22604411563328125,,
2015,112526,172,,,0.20557698140081668,,
2015,433587,170,,,0.26405602683456086,,
2015,448614,170,,,0.18906429826402035,,
2015,450172,170,,,0.25503052114353586,,
2015,452718,170,,,0.16990689205598938,,
2015,468396,170,,,0.23523384123298247,,
2015,521230,170,,,0.27916069685963457,,
2015,533167,170,,,0.2102244431079055,,
2015,547874,170,,,0.24338625443947873,,
2015,570632,170,,,0.21285288519334078,,
2015,543734,170,,,0.20948062387868097,,
2015,462985,170,,,0.20978956184497344,,
2015,518927,170,,,0.25809716590967263,,
2015,519076,170,,,0.25932594254778646,,
2015,543144,170,,,0.2629571787133083,,
2015,218596,165,,,0.23646608889433768,,
2015,429719,165,,,0.2845330634346753,,
2015,448306,165,,,0.24410062704722904,,
2015,456068,165,,,0.22419891819001947,,
2015,460059,165,,,0.24718181126615563,,
2015,517008,165,,,0.26513465852662826,,
2015,542914,165,,,0.24287414346671227,,
2015,543184,165,,,0.2236825662823031,,
2015,573064,165,,,0.25046681780184815,,
2015,444468,165,,,0.2294645309420149,,
2015,450729,165,,,0.22244493617329647,,
