season,pitcher_id,name,usage_entropy,repeat_rate
2015.0,234194,,1.351783994289646,0.11764705882352941
2015.0,279824,,1.7585679470174305,0.0582010582010582
2015.0,346793,,1.301060941391834,0.22935779816513763
2015.0,346798,,1.7460195333741946,0.10919540229885058
2015.0,407819,,1.5983686278197438,0.09352517985611511
2015.0,408241,,1.876466644065049,0.07142857142857142
2015.0,425492,,1.5596369227843316,0.09302325581395349
2015.0,425657,,1.5701928912352914,0.11510791366906475
2015.0,429719,,1.693646575621651,0.08536585365853659
2015.0,429783,,1.5926857326819177,0.08771929824561403
2015.0,433579,,1.9515507146625402,0.08542713567839195
2015.0,433584,,1.5810937501718236,0.14606741573033707
2015.0,433586,,1.7328985120661935,0.0893854748603352
2015.0,433587,,1.7823028328125963,0.05917159763313609
2015.0,434665,,1.7677614722893296,0.11009174311926606
2015.0,435043,,1.7854692073726062,0.08152173913043478
2015.0,435044,,1.3862943611198906,0.15384615384615385
2015.0,435045,,1.5047882836811908,0.1836734693877551
2015.0,445170,,1.3296613488547582,0.1694915254237288
2015.0,446899,,1.4176201848778844,0.15126050420168066
2015.0,447714,,1.5649036983673206,0.1559633027522936
2015.0,450212,,1.2335827656236988,0.1651376146788991
2015.0,450308,,2.0078549189180586,0.06701030927835051
2015.0,451584,,1.564510218598483,0.07142857142857142
2015.0,452666,,1.8327233875927158,0.07731958762886598
2015.0,453311,,1.7426397016134283,0.13924050632911392
2015.0,456701,,1.791759469228055,0.1724137931034483
2015.0,457711,,1.786723603389926,0.08771929824561403
2015.0,457768,,1.3862943611198906,0.14388489208633093
2015.0,457918,,1.7585679470174305,0.09523809523809523
2015.0,460059,,1.8256263966797672,0.10365853658536585
2015.0,460283,,1.0986122886681096,0.21428571428571427
2015.0,461325,,1.506317908895105,0.16279069767441862
2015.0,461872,,1.0549201679861442,0.3333333333333333
2015.0,462089,,1.0986122886681096,0.21428571428571427
2015.0,465657,,1.7701920959702793,0.08695652173913043
2015.0,473879,,1.8492287098466602,0.07262569832402235
