season,pitcher_id,zone,repeat_rate,n
2015.0,445060,none,0.08653846153846154,104
2015.0,450275,none,0.1651376146788991,109
2015.0,456121,none,1.0,4
2015.0,471822,none,0.0893854748603352,179
2015.0,523260,none,0.10067114093959731,149
2015.0,554234,none,0.18085106382978725,94
2015.0,592612,none,0.16455696202531644,79
2015.0,593582,none,0.0,19
2015.0,452718,none,0.1301775147928994,169
2015.0,464416,none,0.10810810810810811,74
2015.0,489039,none,0.2857142857142857,49
2015.0,502004,none,0.06074766355140187,214
2015.0,502085,none,0.11038961038961038,154
2015.0,517593,none,0.11173184357541899,179
2015.0,519411,none,0.15789473684210525,19
2015.0,554340,none,0.11409395973154363,149
2015.0,572038,none,0.20253164556962025,79
2015.0,595032,none,0.02040816326530612,49
2015.0,430935,none,0.10052910052910052,189
2015.0,432934,none,0.10091743119266056,109
2015.0,471911,none,0.09433962264150944,159
2015.0,475138,none,0.0,29
2015.0,493157,none,0.09574468085106383,94
2015.0,502190,none,0.05670103092783505,194
2015.0,592340,none,0.11926605504587157,109
2015.0,595918,none,0.14814814814814814,54
2015.0,605400,none,0.08108108108108109,74
2015.0,453172,none,0.10416666666666667,144
2015.0,502260,none,0.14814814814814814,54
2015.0,518858,none,0.20454545454545456,44
2015.0,544836,none,0.13131313131313133,99
2015.0,592527,none,0.11764705882352941,34
2015.0,605541,none,0.125,104
2015.0,607259,none,0.09433962264150944,159
2015.0,444436,none,0.15151515151515152,99
2015.0,502211,none,0.04838709677419355,124
2015.0,518452,none,0.09302325581395349,129
2015.0,519322,none,0.16417910447761194,134
2015.0,542669,none,0.14285714285714285,84
2015.0,543331,none,0.12903225806451613,124
2015.0,543859,none,0.2261904761904762,84
2015.0,545064,none,0.18181818181818182,44
2015.0,571479,none,0.2608695652173913,69
2015.0,572020,none,0.06756756756756757,74
2015.0,573064,none,0.06707317073170732,164
2015.0,623430,none,0.1590909090909091,44
2015.0,421685,none,0.1111111111111111,189
2015.0,449170,none,0.23529411764705882,34
2015.0,453214,none,0.25675675675675674,74
2015.0,459967,none,0.11594202898550725,69
2015.0,460024,none,0.14388489208633093,139
2015.0,461829,none,0.1038961038961039,154
2015.0,516414,none,0.10204081632653061,49
2015.0,516589,none,0.08633093525179857,139
2015.0,543698,none,0.0,19
2015.0,606273,none,0.18791946308724833,149
2015.0,429717,none,0.09239130434782608,184
2015.0,433589,none,0.09782608695652174,184
2015.0,451661,none,0.11688311688311688,154
2015.0,519043,none,0.1111111111111111,99
2015.0,527048,none,0.07339449541284404,109
2015.0,571666,none,0.07792207792207792,154
2015.0,429719,none,0.13414634146341464,164
2015.0,456701,none,0.10344827586206896,29
2015.0,457117,none,0.09375,64
2015.0,473879,none,0.0893854748603352,179
2015.0,543935,none,0.11949685534591195,159
2015.0,544365,none,0.09375,64
2015.0,447714,none,0.1559633027522936,109
2015.0,451596,none,0.09239130434782608,184
2015.0,453385,none,0.07692307692307693,104
2015.0,543144,none,0.08284023668639054,169
2015.0,543607,none,0.09259259259259259,54
2015.0,544725,none,0.14285714285714285,14
2015.0,572309,none,0.07407407407407407,54
2015.0,592836,none,0.0880503144654088,159
2015.0,594736,none,0.15476190476190477,84
2015.0,346798,none,0.09195402298850575,174
2015.0,433586,none,0.10614525139664804,179
2015.0,450212,none,0.1926605504587156,109
2015.0,460156,none,0.11413043478260869,184
2015.0,519168,none,0.1111111111111111,54
2015.0,608648,none,0.171875,64
2015.0,621281,none,0.046875,64
2015.0,425532,none,0.03347280334728033,239
2015.0,434442,none,0.12605042016806722,119
2015.0,453222,none,0.0784313725490196,204
2015.0,460701,none,0.05426356589147287,129
2015.0,477003,none,0.05737704918032787,244
2015.0,489446,none,0.18421052631578946,114
2015.0,519229,none,0.10526315789473684,19
2015.0,519326,none,0.06422018348623854,109
2015.0,543542,none,0.35714285714285715,14
2015.0,544727,none,0.1069182389937107,159
2015.0,571521,none,0.29545454545454547,44
2015.0,607359,none,0.14285714285714285,84
2015.0,453264,none,0.05128205128205128,39
2015.0,488786,none,0.3333333333333333,24
2015.0,493603,none,0.125,24
2015.0,501627,none,0.2857142857142857,14
2015.0,502010,none,0.13513513513513514,74
2015.0,518617,none,0.18269230769230768,104
2015.0,542432,none,0.20408163265306123,49
2015.0,543334,none,0.08333333333333333,24
2015.0,543521,none,0.07216494845360824,194
2015.0,543606,none,0.05527638190954774,199
2015.0,572193,none,0.1919191919191919,99
2015.0,573046,none,0.06422018348623854,109
2015.0,285064,none,0.0893854748603352,179
2015.0,450729,none,0.09146341463414634,164
2015.0,458919,none,0.10062893081761007,159
2015.0,491696,none,0.17647058823529413,34
2015.0,514981,none,0.125,64
2015.0,518863,none,0.11864406779661017,59
2015.0,543746,none,0.12280701754385964,114
2015.0,571704,none,0.21153846153846154,104
2015.0,593576,none,0.12844036697247707,109
2015.0,279571,none,0.1044776119402985,134
2015.0,407793,none,0.06521739130434782,184
2015.0,455374,none,0.18487394957983194,119
2015.0,502327,none,0.07009345794392523,214
2015.0,502593,none,0.15126050420168066,119
2015.0,532077,none,0.10614525139664804,179
2015.0,543339,none,0.11409395973154363,149
2015.0,592329,none,0.16666666666666666,84
2015.0,605333,none,0.1794871794871795,39
2015.0,607068,none,0.14705882352941177,34
2015.0,276542,none,0.1366906474820144,139
2015.0,425560,none,0.15789473684210525,19
2015.0,434671,none,0.031746031746031744,189
2015.0,453895,none,0.0,9
2015.0,456776,none,0.0851063829787234,94
2015.0,458678,none,0.2711864406779661,59
2015.0,462136,none,0.1527777777777778,144
2015.0,475054,none,0.03669724770642202,109
2015.0,501957,none,0.10869565217391304,184
2015.0,502009,none,0.05511811023622047,254
2015.0,518771,none,0.10091743119266056,109
2015.0,543594,none,0.20408163265306123,49
2015.0,592351,none,0.08163265306122448,49
2015.0,592789,none,0.10062893081761007,159
2015.0,593958,none,0.125,104
2015.0,594840,none,0.12962962962962962,54
2015.0,607309,none,0.16455696202531644,79
2015.0,621962,none,0.125,104
2015.0,,heart,0.8423221828975911,87590
2015.0,282332,none,0.09740259740259741,154
2015.0,346797,none,0.034482758620689655,29
2015.0,425796,none,0.05263157894736842,19
2015.0,444935,none,0.234375,64
2015.0,457429,none,0.19230769230769232,104
2015.0,477195,none,0.058823529411764705,34
2015.0,518790,none,0.11413043478260869,184
2015.0,519008,none,0.08771929824561403,114
2015.0,543045,none,0.1518987341772152,79
2015.0,572308,none,0.3103448275862069,29
2015.0,572403,none,0.11904761904761904,84
2015.0,592341,none,0.1348314606741573,89
