season,pitcher_id,from2,from1,to_pt,n,prob
2015.0,136600,CH,CH,CU,1,1.0
2015.0,136600,EP,CU,CH,1,1.0
2015.0,136600,SI,IN,FF,1,1.0
2015.0,136600,CU,IN,FF,1,1.0
2015.0,136600,SI,CU,EP,1,1.0
2015.0,136600,FF,EP,CH,1,0.5
2015.0,136600,FF,EP,CU,1,0.5
2015.0,136600,CH,CU,IN,1,0.3333333333333333
2015.0,136600,CU,CH,CH,1,1.0
2015.0,136600,SI,SL,SL,1,0.3333333333333333
2015.0,150116,CH,CU,FF,12,0.9230769230769231
2015.0,150116,SL,CH,CU,12,1.0
2015.0,150116,SI,SL,CH,10,1.0
2015.0,150116,CU,FF,SI,8,0.6153846153846154
2015.0,150116,FF,SI,SL,6,0.75
2015.0,150116,CU,FF,IN,4,0.3076923076923077
2015.0,150116,IN,SI,SL,4,0.8
2015.0,150116,FF,IN,SI,4,1.0
2015.0,150116,SI,CH,SL,2,1.0
2015.0,150116,CU,FF,SL,1,0.07692307692307693
2015.0,150116,CH,SL,CH,1,0.5
2015.0,150116,CH,SL,CU,1,0.5
2015.0,150116,SL,FF,CU,1,1.0
2015.0,150116,CU,SL,SI,1,1.0
2015.0,150116,FF,SI,SI,1,0.125
2015.0,150116,FF,SI,FF,1,0.125
2015.0,150116,FF,SL,FF,1,1.0
2015.0,150116,CU,IN,SI,1,1.0
2015.0,150116,SL,CU,FF,1,1.0
2015.0,150116,IN,SI,CH,1,0.2
2015.0,150116,CH,CU,SL,1,0.07692307692307693
2015.0,150116,FF,CH,CU,1,1.0
2015.0,150116,SI,FF,CH,1,1.0
2015.0,150116,SI,SI,CH,1,1.0
2015.0,150116,FF,CU,IN,1,1.0
2015.0,150274,SI,SI,SL,2,1.0
2015.0,150274,SL,SI,SI,2,0.6666666666666666
2015.0,150274,SI,SL,SI,1,0.5
2015.0,150274,SL,SL,SI,1,1.0
2015.0,150274,SI,SL,SL,1,0.5
2015.0,150274,SL,SI,SL,1,0.3333333333333333
2015.0,150302,SL,CH,IN,3,0.75
2015.0,150302,SI,IN,CH,3,1.0
2015.0,150302,CH,IN,SI,2,0.5
2015.0,150302,CH,IN,PO,2,0.5
2015.0,150302,CH,SL,SI,2,0.6666666666666666
2015.0,150302,PO,SI,SL,2,1.0
2015.0,150302,IN,PO,SI,2,1.0
2015.0,150302,SL,SI,PO,2,0.5
2015.0,150302,CH,SI,IN,2,1.0
2015.0,150302,SI,SL,CH,2,0.6666666666666666
2015.0,150302,SI,PO,IN,2,0.6666666666666666
2015.0,150302,IN,CH,SL,2,0.5
2015.0,150302,PO,IN,CH,1,0.5
2015.0,150302,IN,IN,SL,1,1.0
2015.0,150302,SL,CH,SI,1,0.25
2015.0,150302,PO,IN,IN,1,0.5
2015.0,150302,IN,SL,CH,1,1.0
2015.0,150302,SL,SI,IN,1,0.25
2015.0,150302,SL,SI,SL,1,0.25
2015.0,150302,CH,SL,CH,1,0.3333333333333333
2015.0,150302,IN,SI,PO,1,0.5
2015.0,150302,IN,SI,SL,1,0.5
2015.0,150302,PO,SL,SI,1,1.0
2015.0,150302,SL,SL,SI,1,1.0
2015.0,150302,SI,SL,SL,1,0.3333333333333333
2015.0,150302,CH,CH,SL,1,1.0
2015.0,150302,IN,CH,CH,1,0.25
2015.0,150302,IN,CH,SI,1,0.25
2015.0,150302,SI,PO,SL,1,0.3333333333333333
2015.0,150359,CH,FF,KC,9,0.6923076923076923
2015.0,150359,FF,KC,SI,8,0.8888888888888888
2015.0,150359,CH,CH,FF,7,0.6363636363636364
2015.0,150359,FF,CH,CH,7,0.7
2015.0,150359,KC,SI,KC,6,0.35294117647058826
2015.0,150359,KC,SI,SI,5,0.29411764705882354
2015.0,150359,SI,KC,FF,5,0.38461538461538464
2015.0,150359,FF,IN,KC,4,1.0
2015.0,150359,SI,SI,KC,4,0.5714285714285714
2015.0,150359,KC,IN,FF,4,1.0
2015.0,150359,IN,KC,SI,4,1.0
2015.0,150359,KC,FF,CH,3,0.6
2015.0,150359,SI,KC,SI,3,0.23076923076923078
2015.0,150359,IN,FF,CH,3,0.75
2015.0,150359,FF,FF,CH,3,0.75
2015.0,150359,KC,SI,PO,2,0.11764705882352941
2015.0,150359,KC,SI,FF,2,0.11764705882352941
2015.0,150359,KC,FF,FF,2,0.4
2015.0,150359,CH,CH,CH,2,0.18181818181818182
