pitch_type,zone,n
None,NA,1186924
FF,NA,210551
SI,NA,158539
SL,NA,151491
CH,NA,143774
CU,NA,106067
FC,NA,67884
KC,NA,31455
FS,NA,25780
IN,NA,21600
ST,NA,8930
PO,NA,4980
KN,NA,4235
EP,NA,4206
SV,NA,3760
FA,NA,1770
FO,NA,1615
CS,NA,1151
SC,NA,185
AB,NA,61
