season,pitcher_id,dominant_pitch,dominant_usage,usage_entropy,repeat_rate
2025,670092,CH,0.14893617021276595,2.190596802970671,0.021739130434782608
2025,670224,CH,0.11290322580645161,2.4797076717021445,0.03278688524590164
2025,670232,FF,0.3181818181818182,1.374545192908375,0.19047619047619047
2025,671106,CH,0.25925925925925924,1.5991654107425068,0.07692307692307693
2025,672012,CH,0.14893617021276595,2.190596802970671,0.043478260869565216
2025,672284,CH,0.14893617021276595,2.190596802970671,0.021739130434782608
2025,672456,CH,0.21875,1.7826946886047361,0.03225806451612903
2025,676070,EP,0.1935483870967742,2.348250910542494,0.04918032786885246
2025,676480,CH,0.14893617021276595,2.190596802970671,0.043478260869565216
2025,676680,FF,0.4117647058823529,1.0852280400722045,0.25
2025,676969,FC,0.3181818181818182,1.374545192908375,0.19047619047619047
2025,677338,CH,0.4117647058823529,1.0852280400722045,0.375
2025,678493,FC,0.4117647058823529,1.0852280400722045,0.25
2025,678662,CH,0.12280701754385964,2.3922922035346867,0.03571428571428571
2025,679788,FC,0.5833333333333334,0.6791932659915256,0.45454545454545453
2025,680518,CH,0.1891891891891892,1.9378230905790834,0.05555555555555555
2025,680519,FC,0.4117647058823529,1.0852280400722045,0.375
2025,680552,CH,0.4117647058823529,1.0852280400722045,0.3125
2025,680636,CH,0.21875,1.782694688604736,0.0967741935483871
2025,680769,CH,0.14893617021276595,2.190596802970671,0.06521739130434782
2025,680885,CU,0.21875,1.782694688604736,0.16129032258064516
2025,680977,CH,0.12280701754385964,2.3922922035346867,0.0
2025,681293,CH,0.21875,1.7826946886047361,0.12903225806451613
2025,681343,CH,0.21875,1.7826946886047361,0.12903225806451613
2025,681895,CU,0.21875,1.782694688604736,0.03225806451612903
2025,682985,CH,0.11290322580645161,2.4797076717021445,0.01639344262295082
2025,683090,CH,0.1346153846153846,2.2965114666021638,0.058823529411764705
2025,683175,CU,0.4117647058823529,1.0852280400722045,0.25
2025,683357,CH,0.1891891891891892,1.9378230905790834,0.1111111111111111
2025,686981,FC,0.21875,1.782694688604736,0.0967741935483871
2025,687749,CH,0.25925925925925924,1.5991654107425068,0.2692307692307692
2025,687982,CH,0.3181818181818182,1.374545192908375,0.19047619047619047
2025,688138,CH,0.21875,1.7826946886047361,0.12903225806451613
2025,689520,CH,0.3181818181818182,1.374545192908375,0.047619047619047616
2025,689821,CU,0.4117647058823529,1.0852280400722045,0.3125
